Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurrence,Reporting District,Agency,Report/No Report
B16-12106,4/1/16,3:32 AM,April,Friday,VANDALISM IP,520 N LINCOLN ST,LB102,BPD,REPORT NEEDED
B16-12153,4/1/16,12:47 PM,April,Friday,VANDALISM NP,401 S WALNUT ST; CHOCOLATE MOOSE,LB104,BPD,REPORT NEEDED
B16-12229,4/1/16,9:18 PM,April,Friday,VANDALISM NP,610 S HENDERSON ST,LB301,BPD,REPORT NEEDED
B16-12385,4/2/16,9:08 PM,April,Saturday,DISTURBANCE IP,1674 W BLOOMFIELD RD,LB414,BPD,NO REPORT NEEDED
B16-12315,4/2/16,1:50 PM,April,Saturday,DISTURBANCE IP,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,NO REPORT NEEDED
B16-12337,4/2/16,3:51 PM,April,Saturday,DISTURBANCE IP,E 3RD ST & S KINGSTON DR,LB305,BPD,REPORT NEEDED
B16-12332,4/2/16,3:32 PM,April,Saturday,DISTURBANCE NP,301 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-12275,4/2/16,3:56 AM,April,Saturday,DRUNK,211 N WALNUT ST; BTOWN DINER,LB101,BPD,NO REPORT NEEDED
B16-12274,4/2/16,3:42 AM,April,Saturday,DRUNK,217 W 6TH ST,LB101,BPD,NO REPORT NEEDED
B16-12346,4/2/16,4:31 PM,April,Saturday,DRUNK,303 E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-12325,4/2/16,2:31 PM,April,Saturday,DRUNK,415 E KIRKWOOD AVE; TRACKS,LB102,BPD,NO REPORT NEEDED
B16-12263,4/2/16,1:57 AM,April,Saturday,DRUNK,S WALNUT ST & E SMITH AVE,LB103,BPD,NO REPORT NEEDED
B16-12256,4/2/16,12:41 AM,April,Saturday,NOISE,1005 N ROGERS ST; apt b3,LB518,BPD,NO REPORT NEEDED
B16-12264,4/2/16,1:44 AM,April,Saturday,NOISE,103 E 16TH ST,LB213,BPD,NO REPORT NEEDED
B16-12254,4/2/16,12:33 AM,April,Saturday,NOISE,1454 N KINSER PIKE,LB512,BPD,NO REPORT NEEDED
B16-12260,4/2/16,12:54 AM,April,Saturday,NOISE,3556 E COVENANTER DR,LB309,BPD,NO REPORT NEEDED
B16-12270,4/2/16,2:40 AM,April,Saturday,NOISE,512 S BASSWOOD DR; APT H,LB404,BPD,NO REPORT NEEDED
B16-12338,4/2/16,2:51 PM,April,Saturday,NOISE,606 S FESS AVE,LB302,BPD,NO REPORT NEEDED
B16-12255,4/2/16,12:35 AM,April,Saturday,NOISE,805 E HILLSIDE DR,LB313,BPD,NO REPORT NEEDED
B16-12262,4/2/16,1:04 AM,April,Saturday,NOISE,822 S HENDERSON ST,LB301,BPD,NO REPORT NEEDED
B16-12253,4/2/16,12:26 AM,April,Saturday,NOISE,S OVERHILL DR & E 5TH ST; nw corner,LB222,BPD,NO REPORT NEEDED
B16-12384,4/2/16,9:05 PM,April,Saturday,PANHANDLING,122 S WALNUT ST; JOHN WALDRON ARTS CENTER,LB103,BPD,NO REPORT NEEDED
B16-12340,4/2/16,4:04 PM,April,Saturday,VANDALISM IP,1122 W 11TH ST; OUR WAY C STORE,LB517,BPD,NO REPORT NEEDED
B16-12309,4/2/16,1:14 PM,April,Saturday,VANDALISM NP,1000 N COLLEGE AVE; CVS PHARMACY NORTH,LB519,BPD,NO REPORT NEEDED
B16-12293,4/2/16,9:57 AM,April,Saturday,VANDALISM NP,1408 E DUNSTAN DR,LB330,BPD,REPORT NEEDED
B16-12403,4/3/16,1:28 AM,April,Sunday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6,LB212,BPD,NO REPORT NEEDED
B16-12478,4/3/16,4:21 PM,April,Sunday,DISTURBANCE IP,512 S BASSWOOD DR,LB404,BPD,NO REPORT NEEDED
B16-12399,4/3/16,12:00 AM,April,Sunday,DISTURBANCE NP,1020 W 6TH ST,LB520,BPD,NO REPORT NEEDED
B16-12414,4/3/16,3:12 AM,April,Sunday,DRUNK,319 N WALNUT ST; KILROYS SPORTS BAR,LB101,BPD,NO REPORT NEEDED
B16-12411,4/3/16,2:54 AM,April,Sunday,DRUNK,N WASHINGTON ST & E 9TH ST,LB102,BPD,NO REPORT NEEDED
B16-12475,4/3/16,3:59 PM,April,Sunday,DRUNK,S HENDERSON ST & E HILLSIDE DR,LB314,BPD,NO REPORT NEEDED
B16-12416,4/3/16,3:20 AM,April,Sunday,NOISE,1150 S CLARIZZ BLVD; D127,LB310,BPD,NO REPORT NEEDED
B16-12515,4/3/16,9:02 PM,April,Sunday,NOISE,1820 S HUNTINGTON GARDENS PL,LB316,BPD,NO REPORT NEEDED
B16-12523,4/3/16,10:27 PM,April,Sunday,NOISE,312 W RILEY DR; APT 4,LB512,BPD,NO REPORT NEEDED
B16-12495,4/3/16,7:04 PM,April,Sunday,NOISE,432 E VARSITY LN,LB212,BPD,NO REPORT NEEDED
B16-12400,4/3/16,12:09 AM,April,Sunday,NOISE,N WASHINGTON ST & E 8TH ST,LB102,BPD,NO REPORT NEEDED
B16-12457,4/3/16,12:50 PM,April,Sunday,PANHANDLING,3000 W 3RD ST,LB524,BPD,NO REPORT NEEDED
B16-12636,4/4/16,7:49 PM,April,Monday,DISTURBANCE IP,1307 W 3RD ST; VILLAGE PANTRY WEST,LB406,BPD,NO REPORT NEEDED
B16-12558,4/4/16,9:30 AM,April,Monday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6; ROOM 203,LB212,BPD,NO REPORT NEEDED
B16-12538,4/4/16,1:27 AM,April,Monday,DISTURBANCE IP,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,NO REPORT NEEDED
B16-12610,4/4/16,4:15 PM,April,Monday,DISTURBANCE IP,220 E 3RD ST; POLICE DEPARTMENT HEADQUARTERS,LB104,BPD,NO REPORT NEEDED
B16-12601,4/4/16,3:04 PM,April,Monday,DISTURBANCE IP,2430 S WALNUT ST; DOLLAR GENERAL SOUTH WALNUT SQUARE,LB422,BPD,NO REPORT NEEDED
B16-12639,4/4/16,8:42 PM,April,Monday,DISTURBANCE IP,3132 S ACADIA CT,LB329,BPD,NO REPORT NEEDED
B16-12643,4/4/16,9:12 PM,April,Monday,DISTURBANCE IP,525 S PATTERSON DR; APT 4208,LB406,BPD,NO REPORT NEEDED
B16-12572,4/4/16,12:27 PM,April,Monday,DISTURBANCE IP,550 S WALNUT ST; RALLYS,LB410,BPD,NO REPORT NEEDED
B16-12544,4/4/16,7:24 AM,April,Monday,NOISE,1005 N ROGERS ST; APT B3,LB518,BPD,NO REPORT NEEDED
B16-12635,4/4/16,7:43 PM,April,Monday,PANHANDLING,110 N WALNUT ST; OPIE TAYLORS,LB102,BPD,NO REPORT NEEDED
B16-12566,4/4/16,11:11 AM,April,Monday,PANHANDLING,115 S WALNUT ST; YARNS UNLIMITED,LB104,BPD,NO REPORT NEEDED
B16-12537,4/4/16,1:22 AM,April,Monday,VANDALISM IP,212 E 1ST ST,LB301,BPD,REPORT NEEDED
B16-12586,4/4/16,11:16 AM,April,Monday,VANDALISM NP,1314 S DUNN ST,LB314,BPD,REPORT NEEDED
B16-12568,4/4/16,11:00 AM,April,Monday,VANDALISM NP,564 S BASSWOOD DR; APT A  CANTERBURY APTS,LB415,BPD,REPORT NEEDED
B16-12700,4/5/16,1:45 PM,April,Tuesday,DISTURBANCE IP,1306 S MONON DR,LB411,BPD,REPORT NEEDED
B16-12758,4/5/16,10:35 PM,April,Tuesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B172,LB336,BPD,NO REPORT NEEDED
B16-12734,4/5/16,7:05 PM,April,Tuesday,DISTURBANCE IP,420 E KIRKWOOD AVE; CHIPOTLE MEXICAN GRILL KIRKWOOD,LB104,BPD,NO REPORT NEEDED
B16-12737,4/5/16,7:06 PM,April,Tuesday,DISTURBANCE NP,2304 S ROGERS ST; LOT 3,LB423,BPD,REPORT NEEDED
B16-12746,4/5/16,9:16 PM,April,Tuesday,DRUNK,S WALNUT ST & W DODDS ST,LB411,BPD,NO REPORT NEEDED
B16-12747,4/5/16,9:09 PM,April,Tuesday,NOISE,1309 S PALMER AVE,LB314,BPD,NO REPORT NEEDED
B16-12756,4/5/16,9:56 PM,April,Tuesday,NOISE,1820 S HUNTINGTON GARDENS PL,LB316,BPD,NO REPORT NEEDED
B16-12770,4/5/16,11:44 PM,April,Tuesday,NOISE,218 E VARSITY LN,LB212,BPD,NO REPORT NEEDED
B16-12765,4/5/16,11:33 PM,April,Tuesday,NOISE,3140 S ACADIA CT,LB329,BPD,NO REPORT NEEDED
B16-12761,4/5/16,10:32 PM,April,Tuesday,NOISE,3140 S ACADIA CT,LB329,BPD,NO REPORT NEEDED
B16-12664,4/5/16,1:22 AM,April,Tuesday,NOISE,720 S COLLEGE MALL RD; apt g2,LB305,BPD,NO REPORT NEEDED
B16-12754,4/5/16,9:55 PM,April,Tuesday,VANDALISM NP,1917 N DUNN ST; VARSITY GATE,LB212,BPD,REPORT NEEDED
B16-12848,4/6/16,2:06 PM,April,Wednesday,ALCOHOL RELATED,1122 W 11TH ST; OUR WAY C STORE,LB517,BPD,NO REPORT NEEDED
B16-12785,4/6/16,4:01 AM,April,Wednesday,DISTURBANCE IP,1600 N WILLIS DR; lot 10,LB513,BPD,NO REPORT NEEDED
B16-12907,4/6/16,10:05 PM,April,Wednesday,DISTURBANCE IP,301 S WALNUT ST; TRANSIT,LB104,BPD,NO REPORT NEEDED
B16-12788,4/6/16,4:17 AM,April,Wednesday,DISTURBANCE IP,703 W GOURLEY PIKE,LB513,BPD,NO REPORT NEEDED
B16-12784,4/6/16,3:48 AM,April,Wednesday,DISTURBANCE IP,703 W GOURLEY PIKE,LB513,BPD,REPORT NEEDED
B16-12861,4/6/16,3:26 PM,April,Wednesday,DISTURBANCE IP,800 N FAIRVIEW ST,LB518,BPD,NO REPORT NEEDED
B16-12822,4/6/16,10:29 AM,April,Wednesday,DISTURBANCE NP,3401 E JOHN HINKLE PL; WOODBRIDGE APARTMENTS OF BLOOMINGTON,LB221,BPD,NO REPORT NEEDED
B16-12895,4/6/16,8:07 PM,April,Wednesday,DRUNK,303 E KIRKWOOD AVE; MONROE COUNTY PUBLIC LIBRARY,LB102,BPD,REPORT NEEDED
B16-12776,4/6/16,1:57 AM,April,Wednesday,DRUNK,525 S PATTERSON DR; THE DILLION,LB406,BPD,NO REPORT NEEDED
B16-12916,4/6/16,11:01 PM,April,Wednesday,DRUNK,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,NO REPORT NEEDED
B16-12806,4/6/16,8:54 AM,April,Wednesday,DRUNK,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,NO REPORT NEEDED
B16-12902,4/6/16,9:19 PM,April,Wednesday,NOISE,1309 S PALMER AVE,LB314,BPD,NO REPORT NEEDED
B16-12901,4/6/16,9:08 PM,April,Wednesday,NOISE,1309 S PALMER AVE,LB314,BPD,NO REPORT NEEDED
B16-12912,4/6/16,9:33 PM,April,Wednesday,NOISE,703 W GOURLEY PIKE; apt 82,LB513,BPD,NO REPORT NEEDED
B16-12897,4/6/16,7:50 PM,April,Wednesday,NOISE,703 W GOURLEY PIKE; APT 82,LB513,BPD,NO REPORT NEEDED
B16-12783,4/6/16,3:42 AM,April,Wednesday,NOISE,714 E 9TH ST,LB215,BPD,NO REPORT NEEDED
B16-12846,4/6/16,12:59 PM,April,Wednesday,PANHANDLING,3285 W JACOB DR; WENDYS WEST,LB524,BPD,NO REPORT NEEDED
B16-12952,4/7/16,10:47 AM,April,Thursday,DISTURBANCE IP,116 E 3RD ST,LB104,BPD,NO REPORT NEEDED
B16-12978,4/7/16,1:50 PM,April,Thursday,DISTURBANCE IP,2475 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-13034,4/7/16,9:42 PM,April,Thursday,DRUNK,301 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-12927,4/7/16,3:04 AM,April,Thursday,DRUNK,430 E KIRKWOOD AVE,LB104,BPD,REPORT NEEDED
B16-12926,4/7/16,2:16 AM,April,Thursday,DRUNK,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,NO REPORT NEEDED
B16-13049,4/7/16,11:24 PM,April,Thursday,NOISE,2500 S ROCKPORT RD; apt 408,LB424,BPD,NO REPORT NEEDED
B16-13035,4/7/16,9:21 PM,April,Thursday,NOISE,528 S BASSWOOD DR; apt f,LB404,BPD,NO REPORT NEEDED
B16-13020,4/7/16,7:21 PM,April,Thursday,NOISE,701 S WALNUT ST; APT 101,LB301,BPD,NO REPORT NEEDED
B16-13053,4/7/16,11:29 PM,April,Thursday,NOISE,760 S CLARIZZ BLVD,LB305,BPD,NO REPORT NEEDED
B16-12972,4/7/16,1:07 PM,April,Thursday,NOISE,S WALNUT ST & E KIRKWOOD AVE,,BPD,NO REPORT NEEDED
B16-13032,4/7/16,9:19 PM,April,Thursday,PANHANDLING,100 E KIRKWOOD AVE; TROJAN HORSE,LB104,BPD,NO REPORT NEEDED
B16-13001,4/7/16,5:40 PM,April,Thursday,PANHANDLING,106 N WALNUT ST; MALIBU GRILL,LB102,BPD,NO REPORT NEEDED
B16-12987,4/7/16,3:34 PM,April,Thursday,PANHANDLING,W 3RD ST & S GATES DR,LB403,BPD,REPORT NEEDED
B16-12969,4/7/16,1:09 PM,April,Thursday,VANDALISM NP,2615 E 3RD ST; BLOOMINGTON TRAVELODGE,LB221,BPD,NO REPORT NEEDED
B16-13022,4/7/16,8:11 PM,April,Thursday,VANDALISM NP,4021 W 3RD ST; BIG RED LIQUORS 4021 W 3RD ST,LB402,BPD,NO REPORT NEEDED
B16-13165,4/8/16,7:30 PM,April,Friday,DISTURBANCE IP,1122 W 11TH ST; OUR WAY C STORE,LB517,BPD,REPORT NEEDED
B16-13162,4/8/16,6:40 PM,April,Friday,DISTURBANCE IP,1530 W ARLINGTON RD,LB514,BPD,NO REPORT NEEDED
B16-13127,4/8/16,1:13 PM,April,Friday,DISTURBANCE IP,2475 S WINSLOW CT; OFC,LB326,BPD,NO REPORT NEEDED
B16-13200,4/8/16,11:35 PM,April,Friday,DISTURBANCE IP,339 S DUNN ST,LB104,BPD,NO REPORT NEEDED
B16-13160,4/8/16,6:37 PM,April,Friday,DISTURBANCE NP,116 N WALNUT ST; ATHENA,LB102,BPD,REPORT NEEDED
B16-13185,4/8/16,10:48 PM,April,Friday,DRUNK,211 N WALNUT ST; BTOWN DINER,LB101,BPD,NO REPORT NEEDED
B16-13071,4/8/16,2:51 AM,April,Friday,DRUNK,430 E KIRKWOOD AVE; JIMMY JOHNS KIRKWOOD,LB104,BPD,NO REPORT NEEDED
B16-13144,4/8/16,4:36 PM,April,Friday,DRUNK,S HENDERSON ST & E 2ND ST,LB302,BPD,NO REPORT NEEDED
B16-13089,4/8/16,7:38 AM,April,Friday,NOISE,1005 N ROGERS ST; APT B3,LB518,BPD,NO REPORT NEEDED
B16-13202,4/8/16,11:28 PM,April,Friday,NOISE,117 S UNION ST,LB222,BPD,NO REPORT NEEDED
B16-13059,4/8/16,12:11 AM,April,Friday,NOISE,1315 N WASHINGTON ST,LB212,BPD,NO REPORT NEEDED
B16-13187,4/8/16,10:46 PM,April,Friday,NOISE,1600 N WILLIS DR; LOT 117,LB513,BPD,NO REPORT NEEDED
B16-13203,4/8/16,11:47 PM,April,Friday,NOISE,345 S COLLEGE AVE; APT 401,LB103,BPD,NO REPORT NEEDED
B16-13070,4/8/16,2:25 AM,April,Friday,NOISE,3811 E MCCRACKEN WAY,LB220,BPD,NO REPORT NEEDED
B16-13057,4/8/16,12:04 AM,April,Friday,NOISE,516 N GRANT ST; GRANT STREET APARTMENTS,LB102,BPD,NO REPORT NEEDED
B16-13153,4/8/16,5:37 PM,April,Friday,PANHANDLING,130 N WALNUT ST; WALNUT ST INN,LB102,BPD,NO REPORT NEEDED
B16-13147,4/8/16,4:50 PM,April,Friday,PANHANDLING,N COLLEGE AVE & W STATE ROAD 45 46 BYPASS,LB512,BPD,NO REPORT NEEDED
B16-13115,4/8/16,11:48 AM,April,Friday,VANDALISM NP,1019 N SUMMIT ST; 220 E 3RD ST BPD LOBBY,LB517,BPD,NO REPORT NEEDED
B16-13085,4/8/16,6:25 AM,April,Friday,VANDALISM NP,1616 S HUNTINGTON DR,LB316,BPD,REPORT NEEDED
B16-13108,4/8/16,10:21 AM,April,Friday,VANDALISM NP,1965 S WALNUT ST; BLOOMINGTON HIGH SCHOOL SOUTH,LB315,BPD,REPORT NEEDED
B16-13161,4/8/16,6:35 PM,April,Friday,VANDALISM NP,3175 W 3RD ST; KMART WEST,LB403,BPD,NO REPORT NEEDED
B16-13228,4/9/16,8:04 AM,April,Saturday,DISTURBANCE IP,121 E KIRKWOOD AVE; CVS DOWNTOWN,LB102,BPD,NO REPORT NEEDED
B16-13221,4/9/16,4:39 AM,April,Saturday,DISTURBANCE IP,1751 N STONELAKE DR; SUPER 8 MOTEL; RM 209,LB510,BPD,NO REPORT NEEDED
B16-13213,4/9/16,2:42 AM,April,Saturday,DISTURBANCE IP,319 N WALNUT ST; KILROYS SPORTS BAR,LB101,BPD,REPORT NEEDED
B16-13346,4/9/16,11:44 PM,April,Saturday,DISTURBANCE IP,3422 N VALLEYVIEW DR,LB507,BPD,NO REPORT NEEDED
B16-13206,4/9/16,12:30 AM,April,Saturday,DISTURBANCE IP,702 N COLLEGE AVE,LB519,BPD,NO REPORT NEEDED
B16-13207,4/9/16,12:32 AM,April,Saturday,DRUNK,221 N WALNUT ST; BLACKS MERCANTILE,LB101,BPD,NO REPORT NEEDED
B16-13215,4/9/16,3:04 AM,April,Saturday,DRUNK,430 E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-13322,4/9/16,9:02 PM,April,Saturday,NOISE,1424 N JACKSON ST; JACKSON HEIGHTS APARTMENTS,LB513,BPD,NO REPORT NEEDED
B16-13283,4/9/16,4:59 PM,April,Saturday,NOISE,1600 N WILLIS DR; LOT 117,LB513,BPD,NO REPORT NEEDED
B16-13328,4/9/16,9:56 PM,April,Saturday,NOISE,200 E 16TH ST,LB213,BPD,NO REPORT NEEDED
B16-13347,4/9/16,11:58 PM,April,Saturday,NOISE,2036 N WALNUT ST,LB212,BPD,NO REPORT NEEDED
B16-13342,4/9/16,11:32 PM,April,Saturday,NOISE,2036 N WALNUT ST,LB212,BPD,NO REPORT NEEDED
B16-13332,4/9/16,11:01 PM,April,Saturday,NOISE,2036 N WALNUT ST,LB212,BPD,NO REPORT NEEDED
B16-13348,4/9/16,11:56 PM,April,Saturday,NOISE,212 N MORTON ST; MERCURY BUILDING,LB101,BPD,NO REPORT NEEDED
B16-13450,4/10/16,8:59 PM,April,Sunday,DISTURBANCE IP,2905 E COVENANTER DR; AVERS PIZZA EAST,LB310,BPD,REPORT NEEDED
B16-13459,4/10/16,11:07 PM,April,Sunday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT A 17,LB336,BPD,NO REPORT NEEDED
B16-13451,4/10/16,9:17 PM,April,Sunday,DISTURBANCE IP,3620 S KINGSBURY AVE,LB329,BPD,NO REPORT NEEDED
B16-13359,4/10/16,12:36 AM,April,Sunday,DRUNK,S HENDERSON ST & E 1ST ST,LB302,BPD,NO REPORT NEEDED
B16-13454,4/10/16,9:33 PM,April,Sunday,NOISE,1150 S CLARIZZ BLVD; APT K 241,LB310,BPD,NO REPORT NEEDED
B16-13349,4/10/16,12:04 AM,April,Sunday,NOISE,1309 S PALMER AVE,LB314,BPD,NO REPORT NEEDED
B16-13363,4/10/16,1:18 AM,April,Sunday,NOISE,1314 N DUNN ST; CEDARWOOD APARTMENTS; APT F,LB214,BPD,NO REPORT NEEDED
B16-13393,4/10/16,9:48 AM,April,Sunday,NOISE,1480 N ARLINGTON PARK DR; APT 710,LB514,BPD,NO REPORT NEEDED
B16-13351,4/10/16,12:05 AM,April,Sunday,NOISE,2036 N WALNUT ST,LB212,BPD,NO REPORT NEEDED
B16-13453,4/10/16,8:55 PM,April,Sunday,NOISE,619 S LINCOLN ST,LB301,BPD,NO REPORT NEEDED
B16-13368,4/10/16,2:25 AM,April,Sunday,VANDALISM IP,2400 S WALNUT ST; TACO BELL SOUTH,LB422,BPD,NO REPORT NEEDED
B16-13448,4/10/16,8:26 PM,April,Sunday,VANDALISM NP,1199 S COLLEGE MALL RD; 220 E 3RD,LB310,BPD,NO REPORT NEEDED
B16-13521,4/11/16,3:44 PM,April,Monday,DISTURBANCE IP,3132 S ACADIA CT,LB329,BPD,NO REPORT NEEDED
B16-13485,4/11/16,9:59 AM,April,Monday,DISTURBANCE IP,3209 E 10TH ST; APT M4,LB216,BPD,NO REPORT NEEDED
B16-13532,4/11/16,5:45 PM,April,Monday,DISTURBANCE IP,528 S BASSWOOD DR; APT D,LB404,BPD,NO REPORT NEEDED
B16-13546,4/11/16,8:05 PM,April,Monday,DISTURBANCE IP,809 S WHITLEY DR,LB307,BPD,NO REPORT NEEDED
B16-13571,4/11/16,11:12 PM,April,Monday,DRUNK,620 W KIRKWOOD AVE; JUANNITAS,LB520,BPD,NO REPORT NEEDED
B16-13569,4/11/16,10:36 PM,April,Monday,NOISE,508 S BASSWOOD DR,LB404,BPD,NO REPORT NEEDED
B16-13472,4/11/16,6:02 AM,April,Monday,NOISE,581 E HILLSIDE DR,LB314,BPD,NO REPORT NEEDED
B16-13517,4/11/16,3:23 PM,April,Monday,PANHANDLING,110 N WALNUT ST; OPIE TAYLORS,LB102,BPD,NO REPORT NEEDED
B16-13513,4/11/16,3:08 PM,April,Monday,PANHANDLING,115 S WALNUT ST; YARNS UNLIMITED,LB104,BPD,NO REPORT NEEDED
B16-13692,4/12/16,8:54 PM,April,Tuesday,DISTURBANCE IP,1460 N ARLINGTON PARK DR; APT 603,LB514,BPD,NO REPORT NEEDED
B16-13587,4/12/16,3:09 AM,April,Tuesday,DRUNK,245 N COLLEGE AVE; HILTON GARDENS INN BLOOMINGTON,LB101,BPD,NO REPORT NEEDED
B16-13706,4/12/16,9:14 PM,April,Tuesday,NOISE,1424 N JACKSON ST; 1600 N WILLIS DR,LB513,BPD,NO REPORT NEEDED
B16-13680,4/12/16,6:19 PM,April,Tuesday,NOISE,612 S STATE ROAD 446,LB307,BPD,NO REPORT NEEDED
B16-13681,4/12/16,6:27 PM,April,Tuesday,NOISE,619 S LINCOLN ST,LB301,BPD,NO REPORT NEEDED
B16-13695,4/12/16,9:27 PM,April,Tuesday,NOISE,701 N WALNUT ST; MANORS AT THE CREST; APT 301,LB519,BPD,NO REPORT NEEDED
B16-13683,4/12/16,7:21 PM,April,Tuesday,NOISE,E 10TH ST & N WASHINGTON ST,LB213,BPD,NO REPORT NEEDED
B16-13584,4/12/16,2:42 AM,April,Tuesday,VANDALISM IP,N DUNN ST & E 9TH ST,LB102,BPD,NO REPORT NEEDED
B16-13831,4/13/16,7:37 PM,April,Wednesday,DISTURBANCE IP,1421 W 12TH ST,LB517,BPD,NO REPORT NEEDED
B16-13837,4/13/16,8:10 PM,April,Wednesday,DISTURBANCE IP,2020 S WALNUT ST; SONIC,LB422,BPD,REPORT NEEDED
B16-13781,4/13/16,11:35 AM,April,Wednesday,DISTURBANCE IP,2398 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-13848,4/13/16,10:11 PM,April,Wednesday,DISTURBANCE IP,301 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-13741,4/13/16,2:54 AM,April,Wednesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; apt b149,LB336,BPD,NO REPORT NEEDED
B16-13742,4/13/16,2:55 AM,April,Wednesday,DISTURBANCE IP,321 E 14TH ST; H,LB213,BPD,NO REPORT NEEDED
B16-13785,4/13/16,12:15 PM,April,Wednesday,DISTURBANCE IP,4104 W APPLE TREE CT,LB401,BPD,NO REPORT NEEDED
B16-13738,4/13/16,1:56 AM,April,Wednesday,DISTURBANCE IP,430 E KIRKWOOD AVE,LB104,BPD,REPORT NEEDED
