Incident,Date Reported,Time Reported,Month Reported,Day of Week,Nature,Incident address,Area,Agency,Report/No Report
B18-40890,10-04-18,22:42,October,Thursday,DISTURBANCE IP,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,NO REPORT
B18-40903,10-04-18,23:20,October,Thursday,NOISE,212 N MORTON ST,LB101,BPD,NO REPORT
B18-40902,10-04-18,23:32,October,Thursday,NOISE,3100 S WALNUT STREET PIKE; APT A30,LB336,BPD,NO REPORT
B18-40912,10-05-18,00:41,October,Friday,VANDALISM NP,703 N WALNUT ST,LB519,BPD,REPORT
B18-40922,10-05-18,03:12,October,Friday,DISTURBANCE IP,933 N WALNUT ST,LB519,BPD,REPORT
B18-40923,10-05-18,03:21,October,Friday,VANDALISM NP,933 N WALNUT ST,LB519,BPD,REPORT
B18-40929,10-05-18,03:21,October,Friday,VANDALISM NP,933 N WALNUT ST,LB519,BPD,REPORT
B18-40930,10-05-18,03:40,October,Friday,VANDALISM NP,933 N WALNUT ST,LB519,BPD,REPORT
B18-40934,10-05-18,03:41,October,Friday,VANDALISM NP,933 N WALNUT ST,LB519,BPD,REPORT
B18-40933,10-05-18,04:01,October,Friday,VANDALISM NP,319 N WALNUT ST; KILROYS SPORTS BAR,LB101,BPD,NO REPORT
B18-40935,10-05-18,05:04,October,Friday,DISTURBANCE IP,1331 N WASHINGTON ST,LB212,BPD,REPORT
B18-40958,10-05-18,09:37,October,Friday,NOISE,3100 S WALNUT STREET PIKE; APT B 165,LB336,BPD,NO REPORT
B18-40983,10-05-18,13:06,October,Friday,DISTURBANCE IP,114 E KIRKWOOD AVE; BUSKIRK CHUMLEY THEATRE,LB104,BPD,NO REPORT
B18-41020,10-05-18,15:57,October,Friday,DISTURBANCE IP,S ROGERS ST & W 4TH ST,LB408,BPD,NO REPORT
B18-41026,10-05-18,16:20,October,Friday,DRUNK,220 E 3RD ST; POLICE DEPARTMENT HEADQUARTERS,LB104,BPD,NO REPORT
B18-41039,10-05-18,17:42,October,Friday,DISTURBANCE IP,111 S JEFFERSON ST,LB222,BPD,REPORT
B18-41066,10-05-18,20:28,October,Friday,DISTURBANCE IP,1700 S LIBERTY DR; UPS CUSTOMER CENTER,LB416,BPD,NO REPORT
B18-41075,10-05-18,21:08,October,Friday,NOISE,1030 E SASSAFRAS CIR,LB210,BPD,NO REPORT
B18-41093,10-05-18,22:46,October,Friday,NOISE,512 N COLLEGE AVE; APT 304,LB101,BPD,NO REPORT
B18-41088,10-05-18,22:49,October,Friday,DRUNK,N DUNN ST & E 6TH ST,LB102,BPD,REPORT
B18-41100,10-05-18,23:27,October,Friday,VANDALISM IP,2211 S HIGH ST; CHILDS ELEMENTARY SCHOOL,LB324,BPD,NO REPORT
B18-41118,10-06-18,00:49,October,Saturday,NOISE,2708 E 10TH ST,LB221,BPD,NO REPORT
B18-41124,10-06-18,01:53,October,Saturday,NOISE,612 S STATE ROAD 446,LB307,BPD,NO REPORT
B18-41128,10-06-18,02:58,October,Saturday,DRUNK,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,NO REPORT
B18-41133,10-06-18,04:05,October,Saturday,VANDALISM IP,314 W 4TH ST,LB103,BPD,REPORT
B18-41134,10-06-18,04:11,October,Saturday,DRUNK,217 W KIRKWOOD AVE; HYATT PLACE HOTEL,LB103,BPD,NO REPORT
B18-41153,10-06-18,11:14,October,Saturday,DISTURBANCE IP,3333 S ACADIA CT,LB329,BPD,NO REPORT
B18-41154,10-06-18,11:24,October,Saturday,DISTURBANCE IP,202 W 17TH ST; PEOPLES STATE BANK NORTH,LB512,BPD,NO REPORT
B18-41170,10-06-18,14:30,October,Saturday,DISTURBANCE IP,611 E 2ND ST,LB302,BPD,REPORT
B18-41176,10-06-18,15:04,October,Saturday,DISTURBANCE IP,121 E KIRKWOOD AVE; CVS DOWNTOWN,LB102,BPD,NO REPORT
B18-41177,10-06-18,15:12,October,Saturday,PANHANDLING,W 3RD SR 37 OVERPASS; W 3RD ST AND SR 37 OVERPASS,LB404,BPD,NO REPORT
B18-41197,10-06-18,17:54,October,Saturday,DISTURBANCE IP,826 W KIRKWOOD AVE,LB520,BPD,NO REPORT
B18-41210,10-06-18,20:30,October,Saturday,DISTURBANCE IP,400 S OPPORTUNITY LN; WHEELER MISSION,LB404,BPD,NO REPORT
B18-41218,10-06-18,21:54,October,Saturday,NOISE,1377 W ALLEN ST; APT E3,LB4,BPD,NO REPORT
B18-41232,10-06-18,23:06,October,Saturday,NOISE,110 S OVERHILL DR,LB222,BPD,NO REPORT
B18-41235,10-06-18,23:36,October,Saturday,DISTURBANCE IP,2500 S ROCKPORT RD; apt 402,LB424,BPD,NO REPORT
B18-41246,10-07-18,00:46,October,Sunday,DISTURBANCE IP,1600 N WILLIS DR; LOT 84,LB513,BPD,NO REPORT
B18-41248,10-07-18,00:48,October,Sunday,NOISE,N WALNUT ST & E 6TH ST,LB101,BPD,NO REPORT
B18-41253,10-07-18,01:41,October,Sunday,DISTURBANCE IP,2304 S ROGERS ST,LB423,BPD,NO REPORT
B18-41259,10-07-18,03:37,October,Sunday,VANDALISM IP,321 E 14TH ST; APT B1,LB213,BPD,NO REPORT
B18-41270,10-07-18,06:14,October,Sunday,NOISE,645 N WALNUT ST,LB519,BPD,NO REPORT
B18-41271,10-07-18,08:17,October,Sunday,DISTURBANCE IP,409 E KIRKWOOD AVE; VILLAGE DELI,LB102,BPD,NO REPORT
B18-41289,10-07-18,11:07,October,Sunday,VANDALISM NP,118 N WALNUT ST,LB102,BPD,REPORT
B18-41293,10-07-18,12:06,October,Sunday,VANDALISM NP,108 E 6TH ST;FUNCTION BREWING,LB102,BPD,NO REPORT
B18-41295,10-07-18,12:23,October,Sunday,NOISE,411 E SOUTHERN DR; SOUTHERN VALLEY APARTMENTS,LB315,BPD,NO REPORT
B18-41313,10-07-18,14:56,October,Sunday,DISTURBANCE IP,201 W 17TH ST; CIRCLE K GAS 17TH AND COLLEGE,LB519,BPD,NO REPORT
B18-41338,10-07-18,18:26,October,Sunday,NOISE,404 S WASHINGTON ST; URBAN STATION APARTMENTS WASHINGTON,LB104,BPD,NO REPORT
B18-41353,10-07-18,20:39,October,Sunday,NOISE,396 S WASHINGTON ST,LB104,BPD,NO REPORT
B18-41373,10-07-18,22:50,October,Sunday,DISTURBANCE IP,2300 N WALNUT ST; MCDONALDS NORTH,LB209,BPD,REPORT
B18-41375,10-07-18,22:52,October,Sunday,DISTURBANCE IP,400 S OPPORTUNITY LN; WHEELER MISSION,LB404,BPD,NO REPORT
B18-41385,10-08-18,00:46,October,Monday,DISTURBANCE IP,200 S MADISON ST; BICYCLE APARTMENTS APT C127,LB103,BPD,NO REPORT
B18-41390,10-08-18,01:23,October,Monday,NOISE,615 W 15TH ST; APT 12,LB518,BPD,NO REPORT
B18-41392,10-08-18,01:28,October,Monday,NOISE,1750 N WASHINGTON ST; THE HAMPTONS,LB212,BPD,NO REPORT
B18-41413,10-08-18,08:09,October,Monday,VANDALISM NP,314 W 4TH ST; THE KIRKWOOD,LB103,BPD,REPORT
B18-41419,10-08-18,09:27,October,Monday,VANDALISM NP,201 S COLLEGE AVE; SERENDIPITY MARTINI BAR,LB103,BPD,REPORT
B18-41420,10-08-18,09:40,October,Monday,DISTURBANCE IP,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT
B18-41440,10-08-18,12:07,October,Monday,DISTURBANCE IP,2458 S WALNUT ST,LB422,BPD,NO REPORT
B18-41442,10-08-18,12:12,October,Monday,DISTURBANCE IP,645 S ROGERS ST; CENTERSTONE EAST 1,LB409,BPD,NO REPORT
B18-41503,10-08-18,20:01,October,Monday,NOISE,3200 E LONGVIEW AVE,LB221,BPD,NO REPORT
B18-41509,10-08-18,21:20,October,Monday,DISTURBANCE IP,S LINCOLN ST & E 3RD ST,LB104,BPD,NO REPORT
B18-41510,10-08-18,21:30,October,Monday,DISTURBANCE IP,1050 W 14TH ST,LB518,BPD,REPORT
B18-41514,10-08-18,22:13,October,Monday,DRUNK,3100 S WALNUT STREET PIKE; A BUILDING,LB336,BPD,NO REPORT
B18-41536,10-09-18,00:03,October,Tuesday,NOISE,110 N WASHINGTON ST,LB102,BPD,NO REPORT
B18-41538,10-09-18,00:40,October,Tuesday,NOISE,612 S STATE ROAD 446; HALLWAY 26     KNIGHTRIDGE APTS,LB307,BPD,NO REPORT
B18-41541,10-09-18,01:16,October,Tuesday,DISTURBANCE IP,430 E KIRKWOOD AVE; JIMMY JOHNS KIRKWOOD,LB104,BPD,NO REPORT
B18-41545,10-09-18,01:47,October,Tuesday,NOISE,2677 E 7TH ST; APT H,LB221,BPD,NO REPORT
B18-41544,10-09-18,02:04,October,Tuesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE,LB336,BPD,NO REPORT
B18-41549,10-09-18,03:55,October,Tuesday,DRUNK,2101 S LIBERTY DR; STEAK N SHAKE SOUTHWEST,LB416,BPD,NO REPORT
B18-41554,10-09-18,06:17,October,Tuesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; BUILDING A,LB336,BPD,NO REPORT
B18-41576,10-09-18,09:23,October,Tuesday,PANHANDLING,503 W KIRKWOOD AVE; CIRCLE K GAS KIRKWOOD AND ROGERS,LB408,BPD,NO REPORT
B18-41632,10-09-18,17:27,October,Tuesday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,NO REPORT
B18-41636,10-09-18,17:45,October,Tuesday,DISTURBANCE IP,1015 N ILLINOIS ST,LB517,BPD,NO REPORT
B18-41643,10-09-18,18:17,October,Tuesday,DISTURBANCE NP,1525 S ROGERS ST,LB420,BPD,REPORT
B18-41653,10-09-18,20:04,October,Tuesday,VANDALISM IP,500 S BASSWOOD DR; APT I,LB404,BPD,REPORT
B18-41655,10-09-18,20:27,October,Tuesday,VANDALISM IP,2375 S WINSLOW CT,LB326,BPD,REPORT
B18-41659,10-09-18,20:42,October,Tuesday,DISTURBANCE IP,111 E COTTAGE GROVE AVE,LB213,BPD,NO REPORT
B18-41662,10-09-18,20:54,October,Tuesday,NOISE,3846 E COBBLE CREEK DR,LB309,BPD,NO REPORT
B18-41668,10-09-18,21:29,October,Tuesday,NOISE,N WALNUT ST & E 17TH ST,LB519,BPD,NO REPORT
B18-41663,10-09-18,21:41,October,Tuesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; BLDG A,LB336,BPD,REPORT
B18-41664,10-09-18,21:53,October,Tuesday,DISTURBANCE IP,S WASHINGTON ST & E KIRKWOOD AVE,LB104,BPD,NO REPORT
B18-41671,10-09-18,22:28,October,Tuesday,NOISE,608 N DUNN ST; ROOFTOP APTS,LB214,BPD,NO REPORT
B18-41674,10-09-18,22:45,October,Tuesday,NOISE,608 N DUNN ST,LB214,BPD,NO REPORT
B18-41684,10-10-18,00:45,October,Wednesday,DISTURBANCE IP,331 S WASHINGTON ST; WALDRON HILL BUSKIRK PARK,LB104,BPD,REPORT
B18-41696,10-10-18,03:14,October,Wednesday,VANDALISM IP,W 11TH ST & N COLLEGE AVE,LB519,BPD,REPORT
B18-41708,10-10-18,07:19,October,Wednesday,NOISE,1601 E MATLOCK RD; APT 3,LB211,BPD,NO REPORT
B18-41713,10-10-18,08:08,October,Wednesday,VANDALISM NP,206 S ADAMS ST; HINKLES HAMBURGERS,LB521,BPD,REPORT
B18-41717,10-10-18,09:04,October,Wednesday,VANDALISM NP,421 E 3RD ST; RUSH HOUR STATION,LB104,BPD,REPORT
B18-41722,10-10-18,09:46,October,Wednesday,DISTURBANCE IP,301 S WALNUT ST; DOWNTOWN TRANSIT CENTER,LB104,BPD,REPORT
B18-41738,10-10-18,12:23,October,Wednesday,DRUNK,N DUNN ST & E 17TH ST,LIU07,BPD,NO REPORT
B18-41740,10-10-18,12:41,October,Wednesday,DISTURBANCE IP,1314 N DUNN ST; CEDARWOOD APARTMENTS; APT A,LB214,BPD,NO REPORT
B18-41752,10-10-18,14:32,October,Wednesday,DISTURBANCE IP,1121 S LINCOLN ST; FREE METHODIST CHURCH,LB314,BPD,NO REPORT
B18-41760,10-10-18,14:56,October,Wednesday,NOISE,524 N COLLEGE AVE;APT 302,LB101,BPD,NO REPORT
B18-41782,10-10-18,18:13,October,Wednesday,PANHANDLING,E 3RD ST & S CLARIZZ BLVD,LB221,BPD,NO REPORT
B18-41792,10-10-18,19:50,October,Wednesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B169,LB336,BPD,NO REPORT
B18-41794,10-10-18,19:55,October,Wednesday,DRUNK,1300 S PATTERSON DR; COOK PHARMICA,LB412,BPD,NO REPORT
B18-41795,10-10-18,20:00,October,Wednesday,DISTURBANCE IP,201 W 17TH ST; CIRCLE K GAS 17TH AND COLLEGE,LB519,BPD,NO REPORT
B18-41833,10-11-18,00:00,October,Thursday,NOISE,1015 E ATWATER AVE,LIU14,BPD,NO REPORT
B18-41841,10-11-18,01:23,October,Thursday,DISTURBANCE IP,3390 S BURKS CT,LB336,BPD,NO REPORT
B18-41842,10-11-18,01:23,October,Thursday,VANDALISM IP,933 N WALNUT ST,LB519,BPD,REPORT
B18-41849,10-11-18,03:35,October,Thursday,DISTURBANCE IP,430 E KIRKWOOD AVE,LB104,BPD,REPORT
B18-41850,10-11-18,03:39,October,Thursday,DISTURBANCE IP,1005 N ROGERS ST; APT B14,LB518,BPD,REPORT
B18-41853,10-11-18,04:28,October,Thursday,NOISE,3100 S WALNUT STREET PIKE; B115,LB336,BPD,NO REPORT
B18-41871,10-11-18,10:13,October,Thursday,DISTURBANCE IP,2623 E 2ND ST; COLLEGE MALL APARTMENTS 2,LB304,BPD,NO REPORT
B18-41889,10-11-18,12:10,October,Thursday,VANDALISM NP,409 E 9TH ST,LB102,BPD,REPORT
B18-41901,10-11-18,13:47,October,Thursday,DRUNK,126 S FRANKLIN RD; CHEDDARS RESTAURANT,LB523,BPD,NO REPORT
B18-41907,10-11-18,14:13,October,Thursday,VANDALISM NP,310 N GRANT ST; GRANT STREET INN,LB102,BPD,NO REPORT
B18-41921,10-11-18,15:25,October,Thursday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B189,LB336,BPD,NO REPORT
B18-41926,10-11-18,16:26,October,Thursday,DISTURBANCE IP,3301 W 3RD ST; HARDEES,LB403,BPD,NO REPORT
B18-41943,10-11-18,19:13,October,Thursday,DISTURBANCE IP,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,NO REPORT
B18-41946,10-11-18,19:56,October,Thursday,DISTURBANCE IP,302 S COLLEGE AVE; MONROE CONVENTION CENTER,LB103,BPD,NO REPORT
B18-41947,10-11-18,20:03,October,Thursday,DRUNK,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,NO REPORT
B18-41952,10-11-18,20:38,October,Thursday,DRUNK,302 S COLLEGE AVE; MONROE CONVENTION CENTER,LB103,BPD,NO REPORT
B18-41956,10-11-18,21:06,October,Thursday,VANDALISM IP,714 S FAIRVIEW ST; APT 8,LB409,BPD,REPORT
B18-41970,10-11-18,21:34,October,Thursday,NOISE,1410 W 15TH ST,LB517,BPD,NO REPORT
B18-41989,10-11-18,23:10,October,Thursday,NOISE,2851 N OLD STATE ROAD 37; LOWER CASCADES PARK,LB506,BPD,NO REPORT
B18-42003,10-12-18,00:17,October,Friday,NOISE,1442 N KINSER PIKE,LB512,BPD,NO REPORT
B18-42001,10-12-18,00:27,October,Friday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT A38,LB336,BPD,NO REPORT
B18-42015,10-12-18,02:15,October,Friday,NOISE,1410 W 15TH ST,LB517,BPD,NO REPORT
B18-42025,10-12-18,04:07,October,Friday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,NO REPORT
B18-42027,10-12-18,04:21,October,Friday,NOISE,635 N WOODBRIDGE DR,LB216,BPD,NO REPORT
B18-42086,10-12-18,14:11,October,Friday,VANDALISM IP,E 10TH ST & N WASHINGTON ST,LB102,BPD,REPORT
B18-42098,10-12-18,15:23,October,Friday,NOISE,E 4TH ST & S ROOSEVELT ST,LB222,BPD,NO REPORT
B18-42102,10-12-18,15:42,October,Friday,DISTURBANCE NP,3901 N KINSER PIKE; BLOOMINGTON HIGH SCHOOL NORTH,LB508,BPD,NO REPORT
B18-42114,10-12-18,17:44,October,Friday,DISTURBANCE IP,505 W 17TH ST; SMOKING JACKS,LB518,BPD,NO REPORT
B18-42116,10-12-18,18:10,October,Friday,DISTURBANCE IP,2901 E 3RD ST; KFC EAST,LB221,BPD,NO REPORT
B18-42151,10-12-18,21:26,October,Friday,NOISE,720 S WASHINGTON ST,LB314,BPD,NO REPORT
B18-42152,10-12-18,21:33,October,Friday,NOISE,3413 E COVENANTER DR,LB310,BPD,NO REPORT
B18-42161,10-12-18,22:42,October,Friday,NOISE,2607 S KENDALL DR,LB422,BPD,NO REPORT
B18-42167,10-12-18,23:25,October,Friday,DISTURBANCE IP,710 N MORTON ST; APT 310THE PARK ON MORTON OFFICE,LB519,BPD,NO REPORT
B18-42170,10-12-18,23:49,October,Friday,DISTURBANCE IP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,REPORT
B18-42174,10-12-18,23:58,October,Friday,NOISE,609 S PARK AVE,LB302,BPD,NO REPORT
B18-42181,10-13-18,00:50,October,Saturday,NOISE,1440 N WOODBURN AVE,LB512,BPD,NO REPORT
B18-42188,10-13-18,01:30,October,Saturday,NOISE,201 S HILLSDALE DR,LB222,BPD,NO REPORT
B18-42187,10-13-18,02:12,October,Saturday,NOISE,2724 E 10TH ST; APT 10,LB221,BPD,NO REPORT
B18-42190,10-13-18,03:23,October,Saturday,DISTURBANCE IP,N WALNUT ST & E 7TH ST,LB102,BPD,NO REPORT
B18-42191,10-13-18,03:32,October,Saturday,NOISE,435 W AMARYLLIS DR,LB513,BPD,NO REPORT
B18-42196,10-13-18,03:59,October,Saturday,NOISE,1410 W 15TH ST,LB517,BPD,NO REPORT
B18-42195,10-13-18,03:59,October,Saturday,NOISE,1221 W 12TH ST,LB517,BPD,NO REPORT
B18-42197,10-13-18,04:59,October,Saturday,NOISE,1410 W 15TH ST,LB517,BPD,NO REPORT
B18-42206,10-13-18,08:09,October,Saturday,NOISE,515 N WASHINGTON ST,LB102,BPD,NO REPORT
B18-42208,10-13-18,08:29,October,Saturday,NOISE,E 10TH ST & N WASHINGTON ST,LB213,BPD,NO REPORT
B18-42210,10-13-18,08:34,October,Saturday,NOISE,115 N WASHINGTON ST,LB102,BPD,NO REPORT
B18-42220,10-13-18,10:16,October,Saturday,NOISE,425 E 7TH ST,LB102,BPD,NO REPORT
B18-42223,10-13-18,10:52,October,Saturday,NOISE,425 E 7TH ST,LB102,BPD,NO REPORT
B18-42229,10-13-18,11:50,October,Saturday,NOISE,7TH & WASHINGTON,LB102,BPD,NO REPORT
B18-42238,10-13-18,12:26,October,Saturday,VANDALISM NP,621 W 17TH ST; 17TH STREET COIN LAUNDRY,LB518,BPD,NO REPORT
B18-42244,10-13-18,13:57,October,Saturday,ALCOHOL RELATED,N MADISON ST & W 15TH ST,LB518,BPD,NO REPORT
B18-42250,10-13-18,14:37,October,Saturday,DISTURBANCE IP,1600 N WILLIS DR; LOT 225,LB513,BPD,REPORT
B18-42263,10-13-18,15:35,October,Saturday,NOISE,1280 N COLLEGE AVE; APT 306,LB519,BPD,NO REPORT
B18-42278,10-13-18,17:10,October,Saturday,DISTURBANCE IP,3315 E LONGVIEW AVE; APT 58,LB221,BPD,NO REPORT
B18-42283,10-13-18,17:47,October,Saturday,DISTURBANCE IP,100 S PETE ELLIS DR,LB221,BPD,NO REPORT
B18-42288,10-13-18,17:53,October,Saturday,DISTURBANCE IP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,NO REPORT
B18-42290,10-13-18,17:53,October,Saturday,VANDALISM IP,1216 W 12TH ST,LB517,BPD,NO REPORT
B18-42294,10-13-18,18:13,October,Saturday,DISTURBANCE IP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,NO REPORT
B18-42301,10-13-18,18:48,October,Saturday,DISTURBANCE IP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,NO REPORT
B18-42329,10-13-18,21:18,October,Saturday,NOISE,439 S DUNN ST,LB104,BPD,NO REPORT
B18-42333,10-13-18,22:18,October,Saturday,DRUNK,210 W KIRKWOOD AVE; ALLEY BAR,LB101,BPD,NO REPORT
B18-42347,10-13-18,22:27,October,Saturday,NOISE,S ANTHONY CT & E BILL MALLORY BLVD,LB307,BPD,NO REPORT
B18-42341,10-13-18,22:54,October,Saturday,DISTURBANCE IP,410 S COLLEGE MALL RD; CASA BRAVA COLLEGE MALL,LB305,BPD,NO REPORT
B18-42343,10-13-18,22:55,October,Saturday,DISTURBANCE IP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,NO REPORT
