Incident,Date Reported,Time Reported,Month Reported,Day of Week,Nature,Incident address,Area,Agency,Report/No Report
B18-26407,07-02-18,12:41,July,Monday,DRUNK,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,NO REPORT
B18-26409,07-02-18,12:54,July,Monday,PANHANDLING,3000 W 3RD ST,LB524,BPD,NO REPORT
B18-26422,07-02-18,14:02,July,Monday,PANHANDLING,W JONATHAN DR & N GATES DR,LB524,BPD,NO REPORT
B18-26426,07-02-18,14:32,July,Monday,DISTURBANCE IP,1919 S WALNUT ST; MCDONALDS SOUTH,LB315,BPD,NO REPORT
B18-26489,07-02-18,22:56,July,Monday,DISTURBANCE IP,1420 N ARLINGTON PARK DR; APT 102,LB514,BPD,REPORT
B18-26505,07-03-18,04:01,July,Tuesday,NOISE,311 E VARSITY LN,LB212,BPD,NO REPORT
B18-26508,07-03-18,06:18,July,Tuesday,DISTURBANCE IP,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,REPORT
B18-26527,07-03-18,10:26,July,Tuesday,PANHANDLING,S WASHINGTON ST & E KIRKWOOD AVE,LB104,BPD,NO REPORT
B18-26546,07-03-18,11:54,July,Tuesday,VANDALISM NP,2202 S ROCKPORT RD,LB420,BPD,REPORT
B18-26571,07-03-18,15:36,July,Tuesday,VANDALISM NP,915 N SUMMIT ST,LB517,BPD,REPORT
B18-26587,07-03-18,18:09,July,Tuesday,DISTURBANCE IP,100 W 6TH ST; SAMIRA RESTAURANT; SAMIRA,LB101,BPD,NO REPORT
B18-26601,07-03-18,20:12,July,Tuesday,DISTURBANCE IP,W 11TH ST & N ROGERS ST,LB518,BPD,NO REPORT
B18-26613,07-03-18,21:06,July,Tuesday,DISTURBANCE IP,3368 W 3RD ST,LB524,BPD,NO REPORT
B18-26617,07-03-18,21:35,July,Tuesday,VANDALISM NP,1005 N ROGERS ST; APT 12,LB518,BPD,REPORT
B18-26635,07-03-18,23:07,July,Tuesday,DRUNK,1800 N WALNUT ST; MOTEL 6,LB212,BPD,REPORT
B18-26642,07-04-18,00:14,July,Wednesday,DRUNK,2446 S HENDERSON ST; CRAWFORD APARTMENTS 2,LB327,BPD,NO REPORT
B18-26647,07-04-18,00:46,July,Wednesday,DISTURBANCE IP,502 E KIRKWOOD AVE,LB104,BPD,REPORT
B18-26649,07-04-18,00:48,July,Wednesday,DRUNK,1919 S WALNUT ST; MCDONALDS SOUTH,LB315,BPD,REPORT
B18-26650,07-04-18,00:49,July,Wednesday,VANDALISM IP,2371 S BRANDON CT,LB326,BPD,REPORT
B18-26653,07-04-18,01:37,July,Wednesday,DRUNK,212 W KIRKWOOD AVE; IRISH LION,LB101,BPD,NO REPORT
B18-26658,07-04-18,04:44,July,Wednesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; B129,LB336,BPD,NO REPORT
B18-26683,07-04-18,12:41,July,Wednesday,DISTURBANCE IP,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,NO REPORT
B18-26691,07-04-18,14:14,July,Wednesday,NOISE,703 W GOURLEY PIKE; APT 80,LB513,BPD,NO REPORT
B18-26690,07-04-18,14:25,July,Wednesday,DRUNK,2601 S WALNUT ST; MARATHON GAS STATION WINSLOW,LB328,BPD,NO REPORT
B18-26695,07-04-18,15:31,July,Wednesday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT
B18-26722,07-04-18,20:16,July,Wednesday,DISTURBANCE IP,2500 S ROCKPORT RD; COUNTRY VIEW APARTMENTS,LB424,BPD,NO REPORT
B18-26724,07-04-18,20:40,July,Wednesday,DISTURBANCE IP,1602 S WALNUT ST; FAST MAX,LB421,BPD,REPORT
B18-26729,07-04-18,20:41,July,Wednesday,VANDALISM NP,227 W DODDS ST; 7455 S ZIKES RD,LB411,BPD,NO REPORT
B18-26735,07-04-18,21:40,July,Wednesday,DISTURBANCE NP,500 S LIBERTY DR; KROGER WHITEHALL,LB403,BPD,NO REPORT
B18-26746,07-04-18,23:19,July,Wednesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT 129,LB336,BPD,NO REPORT
B18-26750,07-04-18,23:21,July,Wednesday,NOISE,1351 W ALLEN ST; HILLTOP COURT APTS,LB413,BPD,NO REPORT
B18-26761,07-05-18,00:16,July,Thursday,NOISE,1207 W 12TH ST,LB517,BPD,NO REPORT
B18-26763,07-05-18,00:30,July,Thursday,VANDALISM NP,1301 N MAPLE ST,LB518,BPD,REPORT
B18-26768,07-05-18,01:24,July,Thursday,NOISE,1207 W 12TH ST,LB517,BPD,NO REPORT
B18-26773,07-05-18,01:41,July,Thursday,NOISE,3131 E GOODNIGHT WAY; POOL AREA,LB310,BPD,NO REPORT
B18-26776,07-05-18,02:16,July,Thursday,VANDALISM NP,2568 E 3RD ST; DOLLAR TREE EASTLAND PLAZA,LB304,BPD,REPORT
B18-26782,07-05-18,02:27,July,Thursday,NOISE,1215 W 2ND ST; HOOSIER CAR WASH,LB406,BPD,NO REPORT
B18-26780,07-05-18,02:53,July,Thursday,VANDALISM NP,220 E 3RD ST; POLICE DEPARTMENT HEADQUARTERS,LB104,BPD,NO REPORT
B18-26802,07-05-18,09:23,July,Thursday,DRUNK,303 E KIRKWOOD AVE; MONROE COUNTY PUBLIC LIBRARY,LB102,BPD,NO REPORT
B18-26824,07-05-18,12:25,July,Thursday,DISTURBANCE NP,821 W 1ST ST,LB409,BPD,REPORT
B18-26835,07-05-18,14:03,July,Thursday,DISTURBANCE IP,1101 S GRANT ST,LB314,BPD,NO REPORT
B18-26880,07-05-18,19:54,July,Thursday,DISTURBANCE IP,2446 S HENDERSON ST; CRAWFORD APARTMENTS 2,LB327,BPD,NO REPORT
B18-26886,07-05-18,20:31,July,Thursday,DISTURBANCE IP,400 S OPPORTUNITY LN; WHEELER MISSION,LB404,BPD,REPORT
B18-26893,07-05-18,21:44,July,Thursday,DISTURBANCE IP,2446 S HENDERSON ST; CRAWFORD APARTMENTS 2,LB327,BPD,NO REPORT
B18-26903,07-05-18,22:49,July,Thursday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT
B18-26923,07-06-18,02:48,July,Friday,DRUNK,2446 S HENDERSON ST; CRAWFORD APARTMENTS 2,LB327,BPD,NO REPORT
B18-26953,07-06-18,10:09,July,Friday,VANDALISM NP,1321 S HIGH ST,LB311,BPD,NO REPORT
B18-26965,07-06-18,12:40,July,Friday,DRUNK,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT
B18-27002,07-06-18,16:11,July,Friday,PANHANDLING,102 E KIRKWOOD AVE; THE UPTOWN CAFE,LB104,BPD,NO REPORT
B18-27020,07-06-18,19:25,July,Friday,DISTURBANCE IP,1115 S WALNUT ST; CIRCLE K GAS GRIMES AND WALNUT,LB314,BPD,NO REPORT
B18-27023,07-06-18,19:41,July,Friday,DISTURBANCE IP,102 E KIRKWOOD AVE; THE UPTOWN CAFE,LB104,BPD,NO REPORT
B18-27035,07-06-18,20:34,July,Friday,DISTURBANCE IP,211 S KIMBLE DR; RED BRICK APARTMENTS,LB523,BPD,NO REPORT
B18-27036,07-06-18,20:50,July,Friday,DISTURBANCE IP,3125 S ACADIA CT,LB329,BPD,NO REPORT
B18-27037,07-06-18,21:02,July,Friday,DISTURBANCE IP,2701 E 3RD ST; CVS PHARMACY EAST 3RD ST,LB221,BPD,NO REPORT
B18-27053,07-06-18,22:24,July,Friday,NOISE,2005 S ROGERS ST; LOT 16,LB420,BPD,NO REPORT
B18-27065,07-06-18,23:41,July,Friday,NOISE,3100 S WALNUT STREET PIKE; APT B129,LB336,BPD,NO REPORT
B18-27069,07-07-18,01:01,July,Saturday,NOISE,1200 W 12TH ST,LB517,BPD,NO REPORT
B18-27113,07-07-18,13:15,July,Saturday,VANDALISM NP,1102 W WINDING WAY,LB507,BPD,REPORT
B18-27118,07-07-18,13:53,July,Saturday,NOISE,3315 E LONGVIEW AVE; APT 61,LB221,BPD,NO REPORT
B18-27146,07-07-18,17:56,July,Saturday,DRUNK,102 E KIRKWOOD AVE; THE UPTOWN CAFE,LB104,BPD,NO REPORT
B18-27153,07-07-18,19:03,July,Saturday,NOISE,3200 E LONGVIEW AVE; APT 32,LB221,BPD,NO REPORT
B18-27165,07-07-18,21:04,July,Saturday,PANHANDLING,2424 S WALNUT ST; LUCKYS MARKET,LB422,BPD,NO REPORT
B18-27166,07-07-18,21:11,July,Saturday,DISTURBANCE NP,922 W GRAHAM DR,LB423,BPD,NO REPORT
B18-27179,07-07-18,23:25,July,Saturday,DRUNK,300 N WALNUT ST; WALNUT CENTER,LB102,BPD,REPORT
B18-27183,07-08-18,00:20,July,Sunday,NOISE,1747 N WASHINGTON ST; THE HAMPTONS APARTMENTS,LB212,BPD,NO REPORT
B18-27191,07-08-18,01:47,July,Sunday,NOISE,2635 E 2ND ST,LB304,BPD,NO REPORT
B18-27193,07-08-18,03:22,July,Sunday,DISTURBANCE IP,114 E KIRKWOOD AVE; BUSKIRK CHUMLEY THEATRE,LB104,BPD,REPORT
B18-27195,07-08-18,05:15,July,Sunday,DRUNK,S GRANT ST & E KIRKWOOD AVE,LB102,BPD,REPORT
B18-27196,07-08-18,05:32,July,Sunday,DISTURBANCE IP,3310 E GOSPORT CT,LB323,BPD,NO REPORT
B18-27216,07-08-18,11:53,July,Sunday,DISTURBANCE IP,1700 W 8TH ST,LB521,BPD,REPORT
B18-27222,07-08-18,12:59,July,Sunday,NOISE,924 N LINDBERGH DR,LB517,BPD,NO REPORT
B18-27239,07-08-18,16:28,July,Sunday,DISTURBANCE IP,333 E MILLER DR; IU HEALTH,LB315,BPD,NO REPORT
B18-27262,07-08-18,20:18,July,Sunday,DISTURBANCE IP,536 S BASSWOOD DR,LB404,BPD,NO REPORT
B18-27268,07-08-18,21:04,July,Sunday,NOISE,101 E 16TH ST,LB213,BPD,NO REPORT
B18-27279,07-08-18,22:58,July,Sunday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B114,LB336,BPD,NO REPORT
B18-27285,07-08-18,23:56,July,Sunday,DISTURBANCE IP,1001 S HENDERSON ST; BRYAN PARK,LB313,BPD,NO REPORT
B18-27295,07-09-18,03:58,July,Monday,VANDALISM IP,2110 N WALNUT ST; CIRCLE S GAS NORTH WALNUT,LB212,BPD,REPORT
B18-27328,07-09-18,11:48,July,Monday,VANDALISM NP,409 E KIRKWOOD AVE; VILLAGE DELI,LB102,BPD,REPORT
B18-27342,07-09-18,14:55,July,Monday,DRUNK,2430 W 3RD ST; RED BRICK APARTMENTS,LB523,BPD,NO REPORT
B18-27358,07-09-18,16:16,July,Monday,NOISE,2200 S SWEETBRIAR CT,LB326,BPD,NO REPORT
B18-27371,07-09-18,17:35,July,Monday,PANHANDLING,2424 S WALNUT ST; LUCKYS MARKET,LB422,BPD,NO REPORT
B18-27409,07-09-18,22:03,July,Monday,DISTURBANCE IP,408 S HARVEY DR; APT 3,LB402,BPD,NO REPORT
B18-27425,07-09-18,22:51,July,Monday,DISTURBANCE IP,565 W LAVA WAY,LB513,BPD,NO REPORT
B18-27482,07-10-18,11:03,July,Tuesday,DISTURBANCE IP,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,NO REPORT
B18-27486,07-10-18,11:11,July,Tuesday,DRUNK,303 E KIRKWOOD AVE,LB102,BPD,REPORT
B18-27503,07-10-18,13:03,July,Tuesday,PANHANDLING,S STATE ROAD 37 RAMP & W 3RD ST,LB524,BPD,NO REPORT
B18-27502,07-10-18,13:07,July,Tuesday,PANHANDLING,102 E KIRKWOOD AVE; THE UPTOWN CAFE,LB104,BPD,REPORT
B18-27512,07-10-18,14:16,July,Tuesday,DISTURBANCE IP,1600 N WILLIS DR;LOT 74,LB513,BPD,NO REPORT
B18-27525,07-10-18,15:57,July,Tuesday,DISTURBANCE IP,303 E KIRKWOOD AVE; MONROE COUNTY PUBLIC LIBRARY,LB102,BPD,NO REPORT
B18-27538,07-10-18,17:06,July,Tuesday,DRUNK,317 E WINSLOW RD; AVERS PIZZA SOUTH,LB326,BPD,REPORT
B18-27542,07-10-18,17:28,July,Tuesday,DISTURBANCE IP,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,NO REPORT
B18-27558,07-10-18,19:25,July,Tuesday,DISTURBANCE IP,W 2ND ST & S COLLEGE AVE,LB103,BPD,NO REPORT
B18-27569,07-10-18,20:44,July,Tuesday,DISTURBANCE IP,500 S MULLER PKWY; VILLAGE AT MULLER PARK,LB404,BPD,NO REPORT
B18-27577,07-10-18,21:13,July,Tuesday,NOISE,909 W 1ST ST; INDIANA CENTER FOR RECOVERY,LB409,BPD,NO REPORT
B18-27578,07-10-18,22:04,July,Tuesday,VANDALISM NP,400 S WALNUT ST,LB103,BPD,REPORT
B18-27598,07-11-18,01:05,July,Wednesday,NOISE,525 S PATTERSON DR; THE DILLON,LB406,BPD,NO REPORT
B18-27606,07-11-18,03:06,July,Wednesday,NOISE,3073 E AMY LN; CEDARGATE APARTMENTS,LB221,BPD,NO REPORT
B18-27631,07-11-18,10:01,July,Wednesday,DISTURBANCE IP,2610 S BANTA AVE,LB423,BPD,NO REPORT
B18-27640,07-11-18,10:35,July,Wednesday,DISTURBANCE IP,2300 E CANADA DR; OLCOTT PARK,LB334,BPD,NO REPORT
B18-27651,07-11-18,12:09,July,Wednesday,DISTURBANCE IP,3256 E BRAESIDE DR,LB221,BPD,NO REPORT
B18-27664,07-11-18,14:08,July,Wednesday,DISTURBANCE IP,1919 N COLLEGE AVE; STEAK N SHAKE NORTH,LB512,BPD,NO REPORT
B18-27674,07-11-18,15:15,July,Wednesday,VANDALISM NP,3929 E 3RD ST,LB219,BPD,NO REPORT
B18-27681,07-11-18,16:22,July,Wednesday,PANHANDLING,S STATE ROAD 37 RAMP & W 3RD ST,LB524,BPD,NO REPORT
B18-27694,07-11-18,17:28,July,Wednesday,DISTURBANCE IP,109 E WYLIE ST,LB301,BPD,NO REPORT
B18-27707,07-11-18,19:15,July,Wednesday,DISTURBANCE IP,1709 W 8TH ST; VALHALLA MOBILE MANOR,LB521,BPD,NO REPORT
B18-27716,07-11-18,20:26,July,Wednesday,DRUNK,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT
B18-27721,07-11-18,20:46,July,Wednesday,NOISE,3100 S WALNUT STREET PIKE; APT 132,LB336,BPD,NO REPORT
B18-27725,07-11-18,21:54,July,Wednesday,DISTURBANCE IP,400 S OPPORTUNITY LN; WHEELER MISSION,LB404,BPD,NO REPORT
B18-27754,07-12-18,03:14,July,Thursday,DRUNK,E STATE ROAD 45 46 BYPASS & N DUNN ST,LB210,BPD,NO REPORT
B18-27757,07-12-18,03:59,July,Thursday,DISTURBANCE IP,1720 W ARLINGTON RD,LB514,BPD,NO REPORT
B18-27758,07-12-18,04:20,July,Thursday,DISTURBANCE IP,3637 E BRYN MAWR DR,LMS13,BPD,NO REPORT
B18-27820,07-12-18,14:44,July,Thursday,DISTURBANCE IP,317 E WINSLOW RD; AVERS PIZZA SOUTH,LB326,BPD,NO REPORT
B18-27824,07-12-18,14:55,July,Thursday,DISTURBANCE IP,547 N PLYMOUTH RD,LB218,BPD,NO REPORT
B18-27832,07-12-18,15:36,July,Thursday,DISTURBANCE IP,508 S BASSWOOD DR; APT D,LB404,BPD,NO REPORT
B18-27833,07-12-18,15:55,July,Thursday,DISTURBANCE IP,W 11TH ST & N ROGERS ST,LB519,BPD,REPORT
B18-27872,07-12-18,22:28,July,Thursday,NOISE,909 W 1ST ST; INDIANA CENTER FOR RECOVERY,LB409,BPD,NO REPORT
B18-27879,07-12-18,23:20,July,Thursday,DISTURBANCE IP,568 S BASSWOOD DR; APT E,LB415,BPD,NO REPORT
B18-27932,07-13-18,09:26,July,Friday,VANDALISM NP,1600 E HILLSIDE DR; UNIT 63,LB317,BPD,REPORT
B18-27951,07-13-18,12:25,July,Friday,PANHANDLING,1255 S COLLEGE MALL RD; BIG RED LIQUORS S COLLEGE MALL,LB310,BPD,NO REPORT
B18-27959,07-13-18,13:27,July,Friday,DISTURBANCE IP,121 E KIRKWOOD AVE; CVS DOWNTOWN,LB102,BPD,NO REPORT
B18-27967,07-13-18,14:22,July,Friday,DRUNK,3100 S WALNUT STREET PIKE; BLDG A,LB336,BPD,NO REPORT
B18-28003,07-13-18,18:07,July,Friday,DISTURBANCE IP,2446 S HENDERSON ST; CRAWFORD APARTMENTS 2,LB327,BPD,NO REPORT
B18-28008,07-13-18,18:41,July,Friday,VANDALISM NP,W 11TH ST & N FAIRVIEW ST,LB518,BPD,REPORT
B18-28059,07-14-18,01:33,July,Saturday,DISTURBANCE IP,1202 W EAST BRANCH RD,LB413,BPD,NO REPORT
B18-28121,07-14-18,12:24,July,Saturday,VANDALISM NP,1600 N WILLIS DR; LOT 127,LB513,BPD,REPORT
B18-28134,07-14-18,14:34,July,Saturday,VANDALISM IP,208 N WALNUT ST; MONET RESTAURANT,LB102,BPD,REPORT
B18-28154,07-14-18,18:21,July,Saturday,NOISE,1213 S MADISON ST,LB412,BPD,NO REPORT
B18-28170,07-14-18,19:19,July,Saturday,VANDALISM NP,910 N PARK RIDGE CT,LB218,BPD,NO REPORT
B18-28175,07-14-18,21:32,July,Saturday,NOISE,970 S GRAYWELL DR,LB308,BPD,NO REPORT
B18-28172,07-14-18,21:39,July,Saturday,DISTURBANCE IP,2220 S OAKDALE DR,LB417,BPD,REPORT
B18-28173,07-14-18,21:41,July,Saturday,DISTURBANCE IP,900 N MONROE ST,LB518,BPD,NO REPORT
B18-28185,07-14-18,22:24,July,Saturday,NOISE,710 N MORTON ST; THE PARK ON MORTON OFFICE,LB519,BPD,NO REPORT
B18-28186,07-14-18,22:45,July,Saturday,NOISE,3922 S BAYTREE LN,LB335,BPD,NO REPORT
B18-28194,07-14-18,23:50,July,Saturday,NOISE,4477 E 3RD ST,LB219,BPD,NO REPORT
B18-28212,07-15-18,01:07,July,Sunday,DRUNK,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,NO REPORT
B18-28219,07-15-18,02:37,July,Sunday,VANDALISM IP,318 N WALNUT ST,LB102,BPD,REPORT
B18-28223,07-15-18,03:10,July,Sunday,DISTURBANCE IP,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,NO REPORT
B18-28232,07-15-18,08:23,July,Sunday,DISTURBANCE IP,120 S FAIRFIELD DR; ROOM 201 FAIRFIELD INN BLOOMINGTON,LB523,BPD,NO REPORT
B18-28241,07-15-18,10:26,July,Sunday,VANDALISM NP,910 N PARK RIDGE CT,LB218,BPD,NO REPORT
B18-28258,07-15-18,12:54,July,Sunday,DISTURBANCE IP,409 E KIRKWOOD AVE; VILLAGE DELI,LB102,BPD,NO REPORT
B18-28311,07-15-18,18:20,July,Sunday,NOISE,400 E DODDS ST,LB314,BPD,NO REPORT
B18-28319,07-15-18,19:45,July,Sunday,NOISE,400 E DODDS ST,LB314,BPD,NO REPORT
B18-28338,07-15-18,22:05,July,Sunday,NOISE,1450 N WILLIS DR; APT6,LB513,BPD,NO REPORT
B18-28346,07-15-18,22:27,July,Sunday,NOISE,1314 N DUNN ST; APT G CEDARWOOD APARTMENTS,LB214,BPD,NO REPORT
B18-28340,07-15-18,22:31,July,Sunday,NOISE,1450 N WILLIS DR,LB513,BPD,NO REPORT
B18-28343,07-15-18,22:36,July,Sunday,NOISE,310 S COLLEGE AVE; COURTYARD BLOOMINGTON,LB103,BPD,NO REPORT
B18-28352,07-15-18,23:24,July,Sunday,DISTURBANCE IP,2305 E 2ND ST; APT 26,LB304,BPD,NO REPORT
B18-28354,07-15-18,23:25,July,Sunday,NOISE,N ORRIS DR & N MONROE ST,LB517,BPD,NO REPORT
B18-28365,07-16-18,00:39,July,Monday,DISTURBANCE IP,306 S ROGERS ST,LB408,BPD,NO REPORT
B18-28370,07-16-18,01:51,July,Monday,DISTURBANCE IP,2819 E 3RD ST; MCDONALDS EAST,LB221,BPD,NO REPORT
B18-28371,07-16-18,01:53,July,Monday,DISTURBANCE IP,1255 S BASSWOOD CIR,LB415,BPD,NO REPORT
B18-28377,07-16-18,03:21,July,Monday,DISTURBANCE IP,3311 S ACADIA CT; VILLAGE PANTRY SOUTH,LB329,BPD,NO REPORT
B18-28385,07-16-18,05:43,July,Monday,DISTURBANCE IP,105 S FRANKLIN RD;RM 208;TOWN PLACE SUITE,LB523,BPD,NO REPORT
B18-28400,07-16-18,09:12,July,Monday,PANHANDLING,2484 S WALNUT ST;EDWARD JONES,LB422,BPD,NO REPORT
B18-28404,07-16-18,09:26,July,Monday,VANDALISM NP,2301 E 3RD ST,LB222,BPD,REPORT
B18-28429,07-16-18,13:13,July,Monday,DRUNK,303 E KIRKWOOD AVE; MONROE COUNTY PUBLIC LIBRARY,LB102,BPD,REPORT
B18-28445,07-16-18,15:02,July,Monday,DISTURBANCE IP,2500 S ROCKPORT RD; APT 601,LB424,BPD,NO REPORT
B18-28483,07-16-18,18:29,July,Monday,NOISE,1351 W ALLEN ST; APT 21,LB413,BPD,NO REPORT
B18-28496,07-16-18,20:02,July,Monday,DISTURBANCE IP,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,NO REPORT
B18-28524,07-16-18,22:23,July,Monday,DISTURBANCE IP,2371 S BRANDON CT,LB326,BPD,REPORT
B18-28550,07-17-18,02:26,July,Tuesday,NOISE,3115 E STRATUM WAY,LB310,BPD,NO REPORT
B18-28552,07-17-18,03:18,July,Tuesday,DISTURBANCE IP,4425 E BILL MALLORY BLVD,LB307,BPD,NO REPORT
B18-28554,07-17-18,03:52,July,Tuesday,NOISE,1919 N COLLEGE AVE; STEAK N SHAKE NORTH,LB512,BPD,NO REPORT
B18-28569,07-17-18,08:35,July,Tuesday,VANDALISM NP,1005 W 7TH ST,LB520,BPD,REPORT
B18-28572,07-17-18,09:52,July,Tuesday,VANDALISM NP,443 S OWENS DR,LB404,BPD,REPORT
B18-28581,07-17-18,10:46,July,Tuesday,DISTURBANCE IP,1705 N KINSER PIKE; MARATHON GAS STATION N KINSER PIKE,LB513,BPD,NO REPORT
B18-28605,07-17-18,14:11,July,Tuesday,DISTURBANCE IP,2504 E 3RD ST; little ceasars,LB304,BPD,NO REPORT
B18-28622,07-17-18,15:36,July,Tuesday,VANDALISM NP,2500 S ROCKPORT RD; APT 301,LB424,BPD,REPORT
B18-28641,07-17-18,18:50,July,Tuesday,VANDALISM IP,2446 S HENDERSON ST; CRAWFORD APARTMENTS 2,LB327,BPD,REPORT
B18-28646,07-17-18,19:19,July,Tuesday,DISTURBANCE IP,623 W SMITH AVE,LB409,BPD,NO REPORT
B18-28653,07-17-18,21:20,July,Tuesday,DISTURBANCE IP,3845 S MILL STONE WAY,LB334,BPD,NO REPORT
B18-28657,07-17-18,21:28,July,Tuesday,NOISE,909 W 1ST ST; CENTER FOR RECOVERY,LB409,BPD,NO REPORT
B18-28698,07-18-18,07:13,July,Wednesday,VANDALISM NP,345 S CURRY PIKE; APT 22,LB403,BPD,REPORT
B18-28718,07-18-18,10:43,July,Wednesday,VANDALISM NP,1800 S HENDERSON ST,LB315,BPD,REPORT
B18-28750,07-18-18,15:34,July,Wednesday,DISTURBANCE IP,1414 W 12TH ST,LB517,BPD,NO REPORT
B18-28765,07-18-18,16:45,July,Wednesday,DISTURBANCE NP,965 S COLLEGE MALL RD; REGIONS BANK EAST,LB310,BPD,NO REPORT
B18-28823,07-18-18,23:06,July,Wednesday,NOISE,923 N MONROE ST,LB517,BPD,NO REPORT
B18-28840,07-19-18,01:59,July,Thursday,NOISE,E STRATUM WAY & E GOODNIGHT WAY,LB310,BPD,NO REPORT
B18-28841,07-19-18,02:28,July,Thursday,NOISE,S LINCOLN ST & E 1ST ST,LB301,BPD,NO REPORT
B18-28873,07-19-18,12:48,July,Thursday,DISTURBANCE NP,3100 S WALNUT STREET PIKE,LB336,BPD,NO REPORT
B18-28883,07-19-18,14:02,July,Thursday,PANHANDLING,S STATE ROAD 37 RAMP & W 3RD ST,LB524,BPD,NO REPORT
B18-28890,07-19-18,14:35,July,Thursday,DRUNK,510 S COLLEGE MALL RD; CVS PHARMACY COLLEGE MALL ROAD,LB305,BPD,NO REPORT
B18-28891,07-19-18,14:49,July,Thursday,PANHANDLING,E 3RD ST & S PETE ELLIS DR,LB305,BPD,NO REPORT
B18-28924,07-19-18,19:08,July,Thursday,DRUNK,302 N WALNUT ST; SCOTTYS BREWHOUSE,LB102,BPD,NO REPORT
B18-28925,07-19-18,19:10,July,Thursday,DISTURBANCE IP,3700 W 3RD ST; KFC WEST,LB524,BPD,NO REPORT
B18-28929,07-19-18,19:22,July,Thursday,DISTURBANCE IP,612 S STATE ROAD 446,LB307,BPD,NO REPORT
B18-28944,07-19-18,20:57,July,Thursday,DISTURBANCE IP,2309 S ROCKPORT RD; TECH PARK APARTMENTS; APT B,LB423,BPD,REPORT
B18-28948,07-19-18,21:44,July,Thursday,NOISE,411 E SOUTHERN DR; SOUTHERN VALLEY APARTMENTS; APT 9,LB315,BPD,NO REPORT
B18-28958,07-19-18,22:37,July,Thursday,DISTURBANCE IP,3100 S WALNUT STREET PIKE,LB336,BPD,NO REPORT
B18-28978,07-20-18,01:35,July,Friday,NOISE,455 N COLLEGE AVE; APT 8030,LB101,BPD,NO REPORT
