Incident,Date Reported,Time Reported,Month Reported,Day of Week,Nature,Incident address,Area,Agency,Report/No Report
B17-12126,4/2/2017,0:37:26,April,Sunday,NOISE,1215 N JORDAN AVE; PHI DELTA THETA,LIU09,BPD,No Report
B17-12127,4/2/2017,0:50:58,April,Sunday,NOISE,S GRANT ST & E 2ND ST,LB301,BPD,No Report
B17-12131,4/2/2017,0:57:31,April,Sunday,NOISE,501 S SWAIN AVE,LB303,BPD,No Report
B17-12137,4/2/2017,1:50:17,April,Sunday,NOISE,321 E 14TH ST;BUILDING I,LB213,BPD,No Report
B17-12138,4/2/2017,2:01:22,April,Sunday,NOISE,3105 E STRATUM WAY;,LB310,BPD,No Report
B17-12140,4/2/2017,2:22:17,April,Sunday,NOISE,1376 S COLLEGE MALL RD,LB310,BPD,No Report
B17-12144,4/2/2017,2:43:59,April,Sunday,NOISE,2500 S ROCKPORT RD; APT 2407,LB424,BPD,No Report
B17-12229,4/2/2017,23:05:37,April,Sunday,NOISE,1422 S MONON DR,LB411,BPD,No Report
B17-12230,4/2/2017,23:27:27,April,Sunday,NOISE,1150 S CLARIZZ BLVD; APT B205,LB310,BPD,No Report
B17-12128,4/2/2017,1:03:19,April,Sunday,DRUNK,252 N WALNUT ST,LB102,BPD,Report
B17-12155,4/2/2017,4:29:11,April,Sunday,DRUNK,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,Report
B17-12344,4/3/2017,19:05:40,April,Monday,DISTURBANCE IP,100 W 3RD ST,LB103,BPD,No Report
B17-12241,4/3/2017,1:00:07,April,Monday,DRUNK,N MADISON ST & W 17TH ST,LB519,BPD,No Report
B17-12254,4/3/2017,3:59:17,April,Monday,DRUNK,3650 S LEONARD SPRINGS RD; HEATHERWOOD MOBILE HOME PARK,LB428,BPD,No Report
B17-12259,4/3/2017,7:39:48,April,Monday,DRUNK,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,No Report
B17-12305,4/3/2017,14:17:15,April,Monday,DRUNK,1800 N WALNUT ST; MOTEL 6,LB212,BPD,No Report
B17-12248,4/3/2017,1:09:49,April,Monday,NOISE,3105 E STRATUM WAY; APT 9,LB310,BPD,No Report
B17-12366,4/3/2017,22:37:55,April,Monday,NOISE,2503 S CAMDEN DR,LB422,BPD,No Report
B17-12383,4/4/2017,1:07:01,April,Tuesday,DISTURBANCE IP,1117 N COLLEGE AVE,LB519,BPD,No Report
B17-12413,4/4/2017,8:36:52,April,Tuesday,DISTURBANCE IP,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,No Report
B17-12427,4/4/2017,10:40:40,April,Tuesday,DRUNK,430 S WASHINGTON ST; GOLD CASTERS,LB104,BPD,No Report
B17-12518,4/4/2017,23:03:57,April,Tuesday,DRUNK,2475 S WALNUT STREET PIKE; KARTON KING,LB327,BPD,No Report
B17-12389,4/4/2017,1:43:38,April,Tuesday,NOISE,321 E 14TH ST; I9,LB213,BPD,No Report
B17-12490,4/4/2017,19:03:58,April,Tuesday,NOISE,113 E 15TH ST,LB213,BPD,No Report
B17-12495,4/4/2017,19:52:43,April,Tuesday,NOISE,400 E DIXIE ST,LB314,BPD,No Report
B17-12519,4/4/2017,22:36:59,April,Tuesday,NOISE,628 S WASHINGTON ST,LB301,BPD,No Report
B17-12448,4/4/2017,14:15:32,April,Tuesday,VANDALISM NP,223 S PETE ELLIS DR; WILLIAMSBURG VILLAGE,LB221,BPD,Report
B17-12456,4/4/2017,14:58:46,April,Tuesday,VANDALISM NP,S THE STANDS DR & E OAKMONT DR,LB331,BPD,Report
B17-12526,4/5/2017,0:25:07,April,Wednesday,ALCOHOL RELATED,430 E KIRKWOOD AVE; DUNNKIRK SQUARE,LB104,BPD,No Report
B17-12550,4/5/2017,9:24:43,April,Wednesday,DISTURBANCE IP,2700 E 3RD ST; CIRCLE K,LB221,BPD,No Report
B17-12591,4/5/2017,14:14:51,April,Wednesday,DISTURBANCE IP,1890 S WALNUT ST; APT 15,LB421,BPD,No Report
B17-12607,4/5/2017,17:05:58,April,Wednesday,DISTURBANCE IP,W KIRKWOOD AVE & N PINE ST,LB521,BPD,No Report
B17-12645,4/5/2017,22:35:55,April,Wednesday,NOISE,2706 S BANTA AVE,LB423,BPD,No Report
B17-12589,4/5/2017,14:08:49,April,Wednesday,DISTURBANCE IP,123 S KINGSTON DR; MARSH SUPERMARKET EAST,LB221,BPD,Report
B17-12533,4/5/2017,1:01:38,April,Wednesday,VANDALISM IP,1113 S HIGH ST,LB311,BPD,Report
B17-12537,4/5/2017,2:06:27,April,Wednesday,VANDALISM NP,308 E 7TH ST,LB102,BPD,Report
B17-12668,4/6/2017,2:54:09,April,Thursday,DISTURBANCE IP,921 N ILLINOIS ST,LB517,BPD,No Report
B17-12671,4/6/2017,3:58:15,April,Thursday,NOISE,319 E 16TH ST,LB213,BPD,No Report
B17-12715,4/6/2017,13:39:26,April,Thursday,NOISE,2315 S ROCKPORT RD; APT D,LB423,BPD,No Report
B17-12756,4/6/2017,19:37:30,April,Thursday,NOISE,400 N CLARK ST,LB222,BPD,No Report
B17-12771,4/6/2017,22:18:41,April,Thursday,NOISE,504 S BASSWOOD DR; APT N,LB404,BPD,No Report
B17-12784,4/6/2017,23:32:14,April,Thursday,NOISE,345 S COLLEGE AVE; APT 401,LB103,BPD,No Report
B17-12696,4/6/2017,10:40:18,April,Thursday,VANDALISM NP,621 N WALNUT ST; PARKER REAL ESTATE,LB519,BPD,No Report
B17-12806,4/7/2017,4:01:30,April,Friday,DISTURBANCE IP,400 W 2ND ST,LB103,BPD,No Report
B17-12810,4/7/2017,5:16:10,April,Friday,DISTURBANCE IP,601 N COLLEGE AVE; APT 313,LB519,BPD,No Report
B17-12803,4/7/2017,3:21:16,April,Friday,DRUNK,430 N WASHINGTON ST; SHOWERS INN BED AND BREAKFAST,LB102,BPD,No Report
B17-12804,4/7/2017,3:34:33,April,Friday,DRUNK,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,No Report
B17-12871,4/7/2017,15:46:29,April,Friday,DRUNK,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,No Report
B17-12892,4/7/2017,18:00:25,April,Friday,DRUNK,301 S WALNUT ST,LB104,BPD,No Report
B17-12928,4/7/2017,22:51:23,April,Friday,DRUNK,N DUNN ST & E 6TH ST,LB102,BPD,No Report
B17-12799,4/7/2017,2:42:08,April,Friday,NOISE,315 E 8TH ST; apt 4,LB102,BPD,No Report
B17-12863,4/7/2017,14:08:58,April,Friday,NOISE,107 E 6TH ST,LB102,BPD,No Report
B17-12886,4/7/2017,17:30:27,April,Friday,NOISE,N INDIANA AVE & E 7TH ST,LB102,BPD,No Report
B17-12934,4/7/2017,23:19:35,April,Friday,NOISE,1319 N DUNN ST; CHERRY HILL CHRISTIAN CENTER,LB213,BPD,No Report
B17-12945,4/7/2017,23:57:19,April,Friday,NOISE,N MADISON ST & W 14TH ST,LB518,BPD,No Report
B17-12801,4/7/2017,3:15:30,April,Friday,DRUNK,N WALNUT ST & W 8TH ST,LB102,BPD,Report
B17-12802,4/7/2017,3:19:52,April,Friday,VANDALISM IP,521 W TERRY LN; APT A,LB513,BPD,Report
B17-12865,4/7/2017,14:21:11,April,Friday,VANDALISM NP,736 W 17TH ST,LB513,BPD,Report
B17-12868,4/7/2017,15:20:58,April,Friday,VANDALISM NP,4020 E 10TH ST,LB220,BPD,Report
B17-12952,4/8/2017,0:48:02,April,Saturday,DISTURBANCE IP,210 W KIRKWOOD AVE; ALLEY BAR,LB101,BPD,No Report
B17-12996,4/8/2017,10:03:31,April,Saturday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,No Report
B17-12997,4/8/2017,11:06:45,April,Saturday,DISTURBANCE IP,406 E 11TH ST; APT 19,LB213,BPD,No Report
B17-13004,4/8/2017,12:36:46,April,Saturday,DISTURBANCE IP,N LINCOLN ST & E 6TH ST,LB102,BPD,No Report
B17-13079,4/8/2017,22:26:28,April,Saturday,DISTURBANCE IP,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,No Report
B17-13085,4/8/2017,22:41:46,April,Saturday,DISTURBANCE IP,1122 W 11TH ST; OUR WAY C STORE,LB517,BPD,No Report
B17-13076,4/8/2017,22:10:49,April,Saturday,DRUNK,548 S BASSWOOD DR,LB404,BPD,No Report
B17-12947,4/8/2017,0:15:15,April,Saturday,NOISE,321 E 14TH ST; BUILDING D TOP FLOOR,LB213,BPD,No Report
B17-12968,4/8/2017,1:52:33,April,Saturday,NOISE,1729 W ARLINGTON RD,LB514,BPD,No Report
B17-12969,4/8/2017,2:08:57,April,Saturday,NOISE,S FESS AVE & E GRIMES LN,LB313,BPD,No Report
B17-12971,4/8/2017,2:16:44,April,Saturday,NOISE,426 E 15TH ST;K16,LB213,BPD,No Report
B17-12975,4/8/2017,2:36:10,April,Saturday,NOISE,1341 W MILIEU DR;APT 23102,LB406,BPD,No Report
B17-13023,4/8/2017,15:16:00,April,Saturday,NOISE,921 W GRAHAM DR,LB423,BPD,No Report
B17-13045,4/8/2017,17:28:27,April,Saturday,NOISE,408 S GRANT ST,LB104,BPD,No Report
B17-13057,4/8/2017,19:07:06,April,Saturday,NOISE,600 N WASHINGTON ST; IN THIS BLOCK,LB213,BPD,No Report
B17-13064,4/8/2017,19:26:27,April,Saturday,NOISE,1501 E HILLSIDE DR; TARZIAN ESTATE,LB312,BPD,No Report
B17-13068,4/8/2017,20:40:13,April,Saturday,NOISE,500 W CLOVER TER; NEXT TO 522,LB510,BPD,No Report
B17-13083,4/8/2017,22:29:05,April,Saturday,NOISE,3100 S WALNUT STREET PIKE,LB336,BPD,No Report
B17-13093,4/8/2017,23:26:21,April,Saturday,NOISE,316 S HIGH ST,LB303,BPD,No Report
B17-13094,4/8/2017,23:54:14,April,Saturday,NOISE,430 S DUNN ST; 1ST FLOOR,LB104,BPD,No Report
B17-13098,4/8/2017,23:55:39,April,Saturday,NOISE,4421 E MORNINGSIDE DR; PARKRIDGE EAST PARK,LB219,BPD,No Report
B17-13056,4/8/2017,19:26:53,April,Saturday,PANHANDLING,3301 W 3RD ST; HARDEES,LB403,BPD,No Report
B17-12991,4/8/2017,9:14:52,April,Saturday,VANDALISM NP,720 S PARKWAY DR,LB402,BPD,No Report
B17-13053,4/8/2017,19:06:16,April,Saturday,DRUNK,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,Report
B17-13107,4/9/2017,2:03:16,April,Sunday,DISTURBANCE IP,N INDIANA AVE & E 12TH ST,LB214,BPD,No Report
B17-13194,4/9/2017,20:17:10,April,Sunday,DISTURBANCE IP,2358 S WINSLOW CT,LB326,BPD,No Report
B17-13211,4/9/2017,21:44:50,April,Sunday,DISTURBANCE IP,2317 S ROCKPORT RD; apt c,LB423,BPD,No Report
B17-13158,4/9/2017,15:38:26,April,Sunday,DISTURBANCE NP,2910 W 3RD ST; MCDONALDS WEST 4160 W 3RD ST,LB523,BPD,No Report
B17-13224,4/9/2017,23:05:22,April,Sunday,DISTURBANCE NP,N ADAMS ST & W 6TH ST,LB521,BPD,No Report
B17-13115,4/9/2017,3:34:47,April,Sunday,DRUNK,1730 S WALNUT ST; NIGHT MOVES,LB421,BPD,No Report
B17-13198,4/9/2017,20:36:59,April,Sunday,DRUNK,1919 N COLLEGE AVE; STEAK N SHAKE NORTH,LB512,BPD,No Report
B17-13102,4/9/2017,0:43:56,April,Sunday,NOISE,218 E 19TH ST,LB212,BPD,No Report
B17-13112,4/9/2017,3:14:38,April,Sunday,NOISE,3468 E COVENANTER DR,LB310,BPD,No Report
B17-13175,4/9/2017,17:45:26,April,Sunday,NOISE,1345 N LINCOLN ST,LB212,BPD,No Report
B17-13197,4/9/2017,20:09:15,April,Sunday,NOISE,512 W HAYS CT,LB423,BPD,No Report
B17-13220,4/9/2017,21:40:38,April,Sunday,NOISE,413 S HENDERSON ST ; ACROSS FROM THIS ADDRESS,LB302,BPD,No Report
B17-13223,4/9/2017,22:40:28,April,Sunday,NOISE,S ROOSEVELT ST & E 5TH ST,LB222,BPD,No Report
B17-13225,4/9/2017,23:20:55,April,Sunday,NOISE,2413 S WINSLOW CT; BLDG 13,LB326,BPD,No Report
B17-13228,4/9/2017,23:10:05,April,Sunday,NOISE,N LINCOLN ST & E 9TH ST,LB102,BPD,No Report
B17-13116,4/9/2017,3:40:38,April,Sunday,VANDALISM NP,910 N CRESCENT RD,LB517,BPD,No Report
B17-13131,4/9/2017,10:44:10,April,Sunday,VANDALISM NP,2401 E CANADA DR,LB334,BPD,No Report
B17-13222,4/9/2017,22:17:46,April,Sunday,VANDALISM NP,1711 W GRAY ST,LB516,BPD,No Report
B17-13109,4/9/2017,2:11:06,April,Sunday,DISTURBANCE IP,1201 W ALLEN ST; APT 18,LB413,BPD,Report
B17-13114,4/9/2017,3:33:53,April,Sunday,DRUNK,319 N WALNUT ST; KILROYS SPORTS BAR,LB101,BPD,Report
B17-13136,4/9/2017,10:59:22,April,Sunday,VANDALISM NP,519 S FESS AVE,LB302,BPD,Report
B17-13138,4/9/2017,12:36:34,April,Sunday,VANDALISM NP,214 E 9TH ST,LB102,BPD,Report
B17-13140,4/9/2017,13:14:42,April,Sunday,VANDALISM NP,425 N LINCOLN ST,LB102,BPD,Report
B17-13163,4/9/2017,15:51:46,April,Sunday,VANDALISM NP,703 W GOURLEY PIKE; APT 200,LB513,BPD,Report
B17-13290,4/10/2017,13:07:29,April,Monday,DISTURBANCE IP,3315 E LONGVIEW AVE; APT 13,LB221,BPD,No Report
B17-13296,4/10/2017,14:01:34,April,Monday,DISTURBANCE IP,1890 S WALNUT ST; APT 15,LB421,BPD,No Report
B17-13303,4/10/2017,15:28:10,April,Monday,DISTURBANCE IP,1105 S ROGERS ST ; APT A,LB412,BPD,No Report
B17-13319,4/10/2017,17:16:37,April,Monday,DISTURBANCE IP,3702 W 3RD ST; TACO BELL WEST,LB524,BPD,No Report
B17-13297,4/10/2017,14:24:34,April,Monday,DRUNK,640 S WALKER ST,LB406,BPD,No Report
B17-13356,4/10/2017,21:36:42,April,Monday,DRUNK,2850 E 3RD ST; DICKS SPORTING GOODS,LB305,BPD,No Report
B17-13239,4/10/2017,1:11:48,April,Monday,NOISE,3100 S WALNUT STREET PIKE; APT B100,LB336,BPD,No Report
B17-13374,4/10/2017,23:11:39,April,Monday,NOISE,2413 S WINSLOW CT,LB326,BPD,No Report
B17-13376,4/10/2017,23:34:25,April,Monday,NOISE,2500 S ROCKPORT RD,LB424,BPD,No Report
B17-13380,4/10/2017,23:40:37,April,Monday,NOISE,936 W MORAVEC WAY,LB518,BPD,No Report
B17-13267,4/10/2017,9:35:27,April,Monday,VANDALISM NP,1890 S WALNUT ST; APT 15,LB421,BPD,No Report
B17-13363,4/10/2017,20:36:24,April,Monday,VANDALISM NP,1101 W 6TH ST,LB521,BPD,No Report
B17-13262,4/10/2017,8:56:00,April,Monday,VANDALISM NP,3925 E HAGAN ST; SUITE 104,LB307,BPD,Report
B17-13381,4/11/2017,0:00:27,April,Tuesday,DISTURBANCE IP,2539 E EASTGATE LN; EAST BAY APTS,LB222,BPD,No Report
B17-13436,4/11/2017,12:40:18,April,Tuesday,DISTURBANCE IP,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,No Report
B17-13474,4/11/2017,16:40:29,April,Tuesday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,No Report
B17-13477,4/11/2017,17:28:52,April,Tuesday,DISTURBANCE IP,3821 E MCCRACKEN WAY; SHAMROCK POINTE; APT 7,LB220,BPD,No Report
B17-13394,4/11/2017,4:28:08,April,Tuesday,DRUNK,409 E 10TH ST; HAZELBUD APARTMENTS APT 5,LB213,BPD,No Report
B17-13414,4/11/2017,9:19:00,April,Tuesday,DRUNK,1835 N KINSER PIKE; FANTASTIC SAMS,LB510,BPD,No Report
B17-13391,4/11/2017,1:40:19,April,Tuesday,NOISE,3101 E GOODNIGHT WAY; 1ST FLOOR,LB310,BPD,No Report
B17-13494,4/11/2017,19:27:07,April,Tuesday,NOISE,113 E 15TH ST,LB213,BPD,No Report
B17-13519,4/11/2017,21:02:16,April,Tuesday,NOISE,904 S HENDERSON ST,LB314,BPD,No Report
B17-13549,4/11/2017,23:18:14,April,Tuesday,NOISE,345 S COLLEGE AVE; APT 307 ; MIDTOWN LOFT,LB103,BPD,No Report
B17-13553,4/11/2017,23:43:52,April,Tuesday,NOISE,307 S CLIFTON AVE,LB303,BPD,No Report
B17-13423,4/11/2017,10:48:01,April,Tuesday,VANDALISM NP,335 S COLLEGE AVE; THE COURT,LB103,BPD,No Report
B17-13452,4/11/2017,8:44:34,April,Tuesday,VANDALISM NP,1220 N ARLINGTON PARK DR; APT 103; 220 E 3RD ST,LB514,BPD,No Report
B17-13479,4/11/2017,17:57:23,April,Tuesday,DISTURBANCE IP,212 W KIRKWOOD AVE; IRISH LION,LB101,BPD,Report
B17-13416,4/11/2017,9:37:15,April,Tuesday,VANDALISM NP,115 S STATE ROAD 46; ARMY RECRUITING OFFICE,LB221,BPD,Report
B17-13445,4/11/2017,13:42:07,April,Tuesday,VANDALISM NP,3253 W 3RD ST,LB403,BPD,Report
B17-13446,4/11/2017,12:36:21,April,Tuesday,VANDALISM NP,1130 W KIRKWOOD AVE,LB521,BPD,Report
B17-13463,4/11/2017,15:52:15,April,Tuesday,VANDALISM NP,1021 W 6TH ST,LB520,BPD,Report
B17-13696,4/12/2017,22:53:48,April,Wednesday,ALCOHOL RELATED,504 S BASSWOOD DR; APT N,LB404,BPD,No Report
B17-13600,4/12/2017,9:23:31,April,Wednesday,DISTURBANCE IP,2305 S ROGERS ST,LB423,BPD,No Report
B17-13610,4/12/2017,11:51:01,April,Wednesday,DISTURBANCE IP,1890 S WALNUT ST; APT 15,LB421,BPD,No Report
B17-13637,4/12/2017,14:54:25,April,Wednesday,DISTURBANCE IP,129 N WASHINGTON ST; JOSEPHS SHOE REPAIR,LB102,BPD,No Report
B17-13669,4/12/2017,18:37:11,April,Wednesday,DISTURBANCE IP,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,No Report
B17-13672,4/12/2017,18:44:04,April,Wednesday,DISTURBANCE IP,S WASHINGTON ST & E KIRKWOOD AVE,LB104,BPD,No Report
B17-13563,4/12/2017,1:20:41,April,Wednesday,DRUNK,430 E KIRKWOOD AVE; DUNNKIRK SQUARE,LB104,BPD,No Report
B17-13653,4/12/2017,16:44:24,April,Wednesday,DRUNK,111 S GRANT ST; TRINITY EPISCOPAL,LB104,BPD,No Report
B17-13569,4/12/2017,1:45:14,April,Wednesday,NOISE,304 E 20TH ST,LB212,BPD,No Report
B17-13571,4/12/2017,1:47:23,April,Wednesday,NOISE,308 E 20TH ST; APT 5,LB212,BPD,No Report
B17-13574,4/12/2017,1:37:00,April,Wednesday,NOISE,2631 E 2ND ST; APT 11,LB304,BPD,No Report
B17-13575,4/12/2017,2:44:21,April,Wednesday,NOISE,2675 E 7TH ST; ABOVE APT E,LB221,BPD,No Report
B17-13577,4/12/2017,3:07:08,April,Wednesday,NOISE,2304 S WINSLOW CT; HENDERSON COURT,LB326,BPD,No Report
B17-13615,4/12/2017,11:44:59,April,Wednesday,NOISE,621 N WALNUT ST,LB519,BPD,No Report
B17-13647,4/12/2017,15:49:55,April,Wednesday,NOISE,620 N WALNUT ST,LB213,BPD,No Report
B17-13679,4/12/2017,19:32:07,April,Wednesday,PANHANDLING,121 E KIRKWOOD AVE; CVS DOWNTOWN,LB102,BPD,No Report
B17-13568,4/12/2017,1:45:19,April,Wednesday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,Report
B17-13580,4/12/2017,3:37:29,April,Wednesday,DISTURBANCE IP,301 S WALNUT ST,LB104,BPD,Report
B17-13624,4/12/2017,13:22:43,April,Wednesday,DISTURBANCE IP,322 S GRANT ST; CENTERSTONE ROOMING HOUSE,LB104,BPD,Report
B17-13660,4/12/2017,17:31:53,April,Wednesday,DISTURBANCE IP,1150 S CLARIZZ BLVD; APT B307,LB310,BPD,Report
B17-13671,4/12/2017,18:47:27,April,Wednesday,VANDALISM IP,2200 W TAPP RD; CASSIDY ELECTRIC,LB425,BPD,Report
B17-13722,4/13/2017,3:40:07,April,Thursday,DISTURBANCE IP,1201 W EAST BRANCH RD,LB413,BPD,No Report
B17-13726,4/13/2017,5:27:28,April,Thursday,DISTURBANCE IP,408 E 6TH ST,LB102,BPD,No Report
B17-13759,4/13/2017,13:05:59,April,Thursday,DISTURBANCE IP,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,No Report
B17-13781,4/13/2017,15:28:18,April,Thursday,DISTURBANCE IP,349 S WALNUT ST; THE PROJECT SCHOOL,LB104,BPD,No Report
B17-13785,4/13/2017,16:05:17,April,Thursday,DISTURBANCE IP,S PARK AVE & E MILLER DR,LB316,BPD,No Report
B17-13711,4/13/2017,0:32:44,April,Thursday,DRUNK,420 E 6TH ST,LB102,BPD,No Report
B17-13817,4/13/2017,21:12:01,April,Thursday,DRUNK,319 E WINSLOW RD; SUBWAY WINSLOW PLAZA,LB326,BPD,No Report
B17-13824,4/13/2017,22:16:50,April,Thursday,DRUNK,1001 S ROGERS ST,LB412,BPD,No Report
B17-13714,4/13/2017,0:32:59,April,Thursday,NOISE,2383 S WINSLOW CT,LB326,BPD,No Report
B17-13725,4/13/2017,4:13:39,April,Thursday,NOISE,100 S PETE ELLIS DR; APT A3,LB221,BPD,No Report
B17-13739,4/13/2017,10:09:46,April,Thursday,NOISE,108 W 6TH ST; KING DOH,LB101,BPD,No Report
B17-13829,4/13/2017,22:48:42,April,Thursday,NOISE,612 N WASHINGTON ST,LB213,BPD,No Report
B17-13831,4/13/2017,23:12:36,April,Thursday,NOISE,909 S FESS AVE,LB313,BPD,No Report
B17-13723,4/13/2017,3:35:52,April,Thursday,VANDALISM NP,3315 E LONGVIEW AVE; apt 28,LB221,BPD,No Report
B17-13760,4/13/2017,13:03:03,April,Thursday,VANDALISM NP,421 E 9TH ST; 220 E 3RD ST,LB102,BPD,No Report
B17-13709,4/13/2017,0:08:31,April,Thursday,DISTURBANCE IP,216 N WALNUT ST; BLUE BIRD,LB102,BPD,Report
B17-13716,4/13/2017,1:15:42,April,Thursday,DISTURBANCE IP,W FOUNTAIN DR & W 8TH ST,LB521,BPD,Report
B17-13788,4/13/2017,16:20:01,April,Thursday,DISTURBANCE IP,S WALNUT ST & E HILLSIDE DR,LB421,BPD,Report
B17-13796,4/13/2017,17:49:55,April,Thursday,DISTURBANCE IP,545 W LAVA WAY; APT A,LB513,BPD,Report
B17-13814,4/13/2017,20:32:29,April,Thursday,DRUNK,2602 N KINSER PIKE; SKATE PARK AT UPPER CASCADES,LB511,BPD,Report
B17-13827,4/13/2017,22:43:24,April,Thursday,DRUNK,3702 W 3RD ST; TACO BELL WEST,LB524,BPD,Report
B17-13730,4/13/2017,8:06:16,April,Thursday,VANDALISM NP,3315 E LONGVIEW AVE; APT 13,LB221,BPD,Report
B17-13959,4/14/2017,19:03:52,April,Friday,ALCOHOL RELATED,3620 W 3RD ST; BIG LOTS,LB524,BPD,No Report
B17-13875,4/14/2017,8:12:52,April,Friday,DISTURBANCE IP,197 E VARSITY LN,LB212,BPD,No Report
B17-13891,4/14/2017,10:48:13,April,Friday,DISTURBANCE IP,1722 N WALNUT ST; ROOM 227 AMERICAS BEST VALUE INN;,LB212,BPD,No Report
B17-13954,4/14/2017,18:30:07,April,Friday,DISTURBANCE IP,703 W GOURLEY PIKE; APT 179,LB513,BPD,No Report
B17-13964,4/14/2017,19:42:20,April,Friday,DISTURBANCE IP,409 E KIRKWOOD AVE; VILLAGE DELI,LB102,BPD,No Report
B17-13992,4/14/2017,22:59:45,April,Friday,DISTURBANCE IP,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,No Report
B17-13880,4/14/2017,9:37:08,April,Friday,DRUNK,S WASHINGTON ST & E KIRKWOOD AVE,LB104,BPD,No Report
B17-13870,4/14/2017,5:11:47,April,Friday,NOISE,103 E 16TH ST,LB213,BPD,No Report
B17-13879,4/14/2017,9:18:45,April,Friday,NOISE,S FESS AVE & E HUNTER AVE,LB302,BPD,No Report
B17-13934,4/14/2017,15:47:55,April,Friday,NOISE,1001 S HENDERSON ST; BRYAN PARK,LB313,BPD,No Report
B17-13993,4/14/2017,23:02:45,April,Friday,NOISE,2500 S ROCKPORT RD; APT 103,LB424,BPD,No Report
B17-14000,4/14/2017,23:31:37,April,Friday,NOISE,622 E 11TH ST,LB214,BPD,No Report
B17-14003,4/14/2017,23:31:37,April,Friday,NOISE,N STATE ROAD 46 & E EASTGATE LN,LB222,BPD,No Report
B17-14001,4/14/2017,23:49:51,April,Friday,VANDALISM IP,106 E KIRKWOOD AVE; APT 204,LB104,BPD,No Report
