Incident,Date Reported,Time Reported,Month Reported,Day of Week,Nature,Incident address,Area,Agency,Clearance Code desc
B17-00366,1/4/2017,13:14:29,January,Wednesday,DISTURBANCE IP,303 E KIRKWOOD AVE; MONROE COUNTY PUBLIC LIBRARY,LB102,BPD,NO REPORT
B17-00375,1/4/2017,14:23:04,January,Wednesday,DISTURBANCE IP,1600 N WILLIS DR; LOT 109,LB513,BPD,NO REPORT
B17-00384,1/4/2017,15:19:37,January,Wednesday,VANDALISM NP,200 S MADISON ST; BICYCLE APARTMENTS,LB103,BPD,REPORT NEEDED
B17-00385,1/4/2017,15:24:55,January,Wednesday,DISTURBANCE NP,3410 S WALNUT ST; ANIMAL SHELTER,LB434,BPD,NO REPORT
B17-00393,1/4/2017,16:26:13,January,Wednesday,VANDALISM NP,305 N PETE ELLIS DR; STE 100,LB221,BPD,REPORT NEEDED
B17-00406,1/4/2017,18:17:30,January,Wednesday,DISTURBANCE IP,115 E DIXIE ST,LB314,BPD,REPORT NEEDED
B17-00450,1/5/2017,1:14:02,January,Thursday,NOISE,527 N LINCOLN ST,LB102,BPD,NO REPORT
B17-00473,1/5/2017,11:31:35,January,Thursday,DISTURBANCE IP,3200 E LONGVIEW AVE,LB221,BPD,NO REPORT
B17-00502,1/5/2017,16:49:32,January,Thursday,VANDALISM NP,1724 S WALNUT ST,LB421,BPD,REPORT NEEDED
B17-00513,1/5/2017,18:57:13,January,Thursday,DRUNK,430 E 4TH ST; SIAM HOUSE,LB104,BPD,NO REPORT
B17-00517,1/5/2017,19:35:15,January,Thursday,DRUNK,301 S WALNUT ST; BT TRANSIT TERMINAL,LB104,BPD,NO REPORT
B17-00530,1/5/2017,22:02:05,January,Thursday,NOISE,834 S SHERIDAN DR,LB303,BPD,NO REPORT
B17-00532,1/5/2017,22:15:12,January,Thursday,NOISE,345 S COLLEGE AVE; 3RD OR 4TH FLOOR,LB103,BPD,NO REPORT
B17-00538,1/6/2017,0:50:44,January,Friday,DRUNK,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,NO REPORT
B17-00553,1/6/2017,9:04:41,January,Friday,VANDALISM NP,548 S BASSWOOD DR; APT K,LB404,BPD,NO REPORT
B17-00565,1/6/2017,13:19:26,January,Friday,DRUNK,408 E 6TH ST,LB102,BPD,NO REPORT
B17-00587,1/6/2017,16:04:37,January,Friday,DRUNK,303 E KIRKWOOD AVE; MONROE COUNTY LIBRARY,LB102,BPD,NO REPORT
B17-00636,1/6/2017,21:04:08,January,Friday,NOISE,1150 S CLARIZZ BLVD; APT 367,LB310,BPD,NO REPORT
B17-00646,1/7/2017,0:05:57,January,Saturday,DISTURBANCE IP,3422 N VALLEYVIEW DR,LB507,BPD,NO REPORT
B17-00652,1/7/2017,1:24:39,January,Saturday,VANDALISM IP,W 11TH ST & N ROGERS ST,LB518,BPD,NO REPORT
B17-00655,1/7/2017,1:50:35,January,Saturday,DISTURBANCE IP,2613 E 3RD ST ; UTOPIA,LB222,BPD,NO REPORT
B17-00668,1/7/2017,4:33:41,January,Saturday,NOISE,3200 E LONGVIEW AVE; APT 21,LB221,BPD,NO REPORT
B17-00669,1/7/2017,6:25:47,January,Saturday,NOISE,716 E RIDGE CREST CT,LB316,BPD,NO REPORT
B17-00680,1/7/2017,9:21:49,January,Saturday,VANDALISM NP,122 N ROOSEVELT ST,LB222,BPD,NO REPORT
B17-00707,1/7/2017,15:39:45,January,Saturday,DRUNK,303 E KIRKWOOD AVE; MONROE COUNTY PUBLIC LIBRARY,LB102,BPD,NO REPORT
B17-00710,1/7/2017,15:42:52,January,Saturday,PANHANDLING,302 N WALNUT ST; SCOTTYS BREWHOUSE,LB102,BPD,NO REPORT
B17-00720,1/7/2017,17:39:02,January,Saturday,DISTURBANCE IP,221 E KIRKWOOD AVE; ESAN TAI,LB102,BPD,NO REPORT
B17-00723,1/7/2017,18:01:41,January,Saturday,NOISE,3100 S WALNUT STREET PIKE; APT A38,LB336,BPD,NO REPORT
B17-00731,1/7/2017,19:48:01,January,Saturday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT 38A,LB336,BPD,NO REPORT
B17-00733,1/7/2017,20:04:49,January,Saturday,DISTURBANCE IP,721 S LINCOLN ST,LB314,BPD,NO REPORT
B17-00755,1/7/2017,23:11:00,January,Saturday,DRUNK,2160 N WALNUT ST; DENNYS,LB212,BPD,NO REPORT
B17-00757,1/7/2017,23:41:58,January,Saturday,DISTURBANCE IP,3283 S WALNUT SPRINGS DR,LB336,BPD,NO REPORT
B17-00764,1/8/2017,0:25:26,January,Sunday,DRUNK,408 S HARVEY DR; APT 7,LB402,BPD,NO REPORT
B17-00767,1/8/2017,0:39:04,January,Sunday,NOISE,301 E 20TH ST; COLONIAL HILL APARTMENT,LB212,BPD,NO REPORT
B17-00768,1/8/2017,1:35:32,January,Sunday,DISTURBANCE IP,3012 S ACADIA CT,LB329,BPD,NO REPORT
B17-00773,1/8/2017,2:45:03,January,Sunday,DRUNK,339 S GRANT ST; APT1,LB104,BPD,NO REPORT
B17-00775,1/8/2017,2:35:57,January,Sunday,NOISE,1107 S BASSWOOD CIR,LB415,BPD,NO REPORT
B17-00777,1/8/2017,3:27:54,January,Sunday,DRUNK,100 E 12TH ST,LB213,BPD,NO REPORT
B17-00778,1/8/2017,3:25:43,January,Sunday,NOISE,200 S MADISON ST; BICYCLE APARTMENTS; APT C218,LB103,BPD,NO REPORT
B17-00786,1/8/2017,11:26:28,January,Sunday,DISTURBANCE IP,1521 S OLIVE ST,LB316,BPD,NO REPORT
B17-00801,1/8/2017,14:52:06,January,Sunday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT A88,LB336,BPD,REPORT NEEDED
B17-00830,1/8/2017,20:27:40,January,Sunday,NOISE,730 N WALNUT ST; APT 315   ENTRANCE CODE: 55,LB213,BPD,NO REPORT
B17-00849,1/8/2017,22:52:00,January,Sunday,NOISE,402 E VARSITY LN,LB212,BPD,NO REPORT
B17-00888,1/9/2017,11:49:15,January,Monday,VANDALISM NP,4116 W HEATHERWOOD LN,LB428,BPD,NO REPORT
B17-00906,1/9/2017,15:14:51,January,Monday,DISTURBANCE IP,2317 S ROCKPORT RD; APT C,LB423,BPD,NO REPORT
B17-00918,1/9/2017,17:02:11,January,Monday,NOISE,986 S COPPER BEECH WAY; APT,LB415,BPD,NO REPORT
B17-00933,1/9/2017,19:10:10,January,Monday,DISTURBANCE IP,301 S WALNUT ST,LB104,BPD,NO REPORT
B17-00966,1/10/2017,0:52:24,January,Tuesday,NOISE,1113 S BASSWOOD CIR,LB415,BPD,NO REPORT
B17-00974,1/10/2017,5:19:43,January,Tuesday,DISTURBANCE IP,220 E 3RD ST; POLICE DEPARTMENT HEADQUARTERS,LB104,BPD,REPORT NEEDED
B17-00981,1/10/2017,6:42:38,January,Tuesday,DISTURBANCE IP,1613 W 7TH ST,LB521,BPD,NO REPORT
B17-00989,1/10/2017,8:31:14,January,Tuesday,ALCOHOL RELATED,3901 N KINSER PIKE; BLOOMINGTON HIGH SCHOOL NORTH,LB503,BPD,REPORT NEEDED
B17-00996,1/10/2017,9:47:37,January,Tuesday,DISTURBANCE IP,2341 S WINSLOW CT,LB326,BPD,NO REPORT
B17-01007,1/10/2017,12:15:56,January,Tuesday,DRUNK,303 E KIRKWOOD AVE; MONROE COUNTY PUBLIC LIBRARY,LB102,BPD,NO REPORT
B17-01013,1/10/2017,12:55:54,January,Tuesday,DRUNK,121 E KIRKWOOD AVE; CVS DOWNTOWN,LB102,BPD,NO REPORT
B17-01022,1/10/2017,14:21:39,January,Tuesday,DRUNK,645 S ROGERS ST; CENTERSTONE EAST,LB409,BPD,NO REPORT
B17-01023,1/10/2017,14:33:52,January,Tuesday,PANHANDLING,517 E KIRKWOOD AVE; NOODLES AND COMPANY KIRKWOOD,LB102,BPD,NO REPORT
B17-01024,1/10/2017,14:34:20,January,Tuesday,NOISE,3100 S WALNUT STREET PIKE; APT 38A,LB336,BPD,NO REPORT
B17-01027,1/10/2017,14:28:12,January,Tuesday,VANDALISM NP,1614 W ARLINGTON RD; ARLINGTON APARTMENTS; APT 2,LB514,BPD,REPORT NEEDED
B17-01071,1/10/2017,20:13:12,January,Tuesday,DRUNK,S ROGERS ST & W 1ST ST,LB409,BPD,NO REPORT
B17-01086,1/10/2017,22:36:46,January,Tuesday,NOISE,537 N LINCOLN ST,LB102,BPD,NO REPORT
B17-01093,1/10/2017,23:05:43,January,Tuesday,NOISE,520 N GRANT ST,LB102,BPD,NO REPORT
B17-01102,1/11/2017,1:54:20,January,Wednesday,DRUNK,500 S FESS AVE,LB302,BPD,NO REPORT
B17-01108,1/11/2017,3:40:40,January,Wednesday,DISTURBANCE IP,2701 E 3RD ST,LB221,BPD,NO REPORT
B17-01114,1/11/2017,7:22:22,January,Wednesday,VANDALISM IP,2500 S ROCKPORT RD; APT 2708,LB424,BPD,REPORT NEEDED
B17-01134,1/11/2017,9:50:08,January,Wednesday,DISTURBANCE IP,3901 N KINSER PIKE,LB503,BPD,REPORT NEEDED
B17-01161,1/11/2017,15:32:13,January,Wednesday,DISTURBANCE IP,923 N MONROE ST,LB517,BPD,REPORT NEEDED
B17-01168,1/11/2017,16:51:54,January,Wednesday,DISTURBANCE IP,1600 N WILLIS DR; LOT 214,LB513,BPD,REPORT NEEDED
B17-01175,1/11/2017,17:47:31,January,Wednesday,DISTURBANCE IP,2486 S WALNUT ST; PAPA JOHNS SOUTH,LB422,BPD,NO REPORT
B17-01178,1/11/2017,17:56:23,January,Wednesday,DISTURBANCE IP,819 W 1ST ST,LB409,BPD,NO REPORT
B17-01187,1/11/2017,19:28:51,January,Wednesday,DISTURBANCE IP,N WOODBURN AVE & W 17TH ST,LB512,BPD,NO REPORT
B17-01212,1/11/2017,23:18:26,January,Wednesday,NOISE,321 E 14TH ST; APT F7  TERRA TRACE APTS.,LB213,BPD,NO REPORT
B17-01215,1/11/2017,23:43:55,January,Wednesday,DISTURBANCE IP,1113 S MADISON ST,LB412,BPD,NO REPORT
B17-01217,1/11/2017,23:41:52,January,Wednesday,NOISE,3100 S WALNUT STREET PIKE; APT A38,LB336,BPD,NO REPORT
B17-01236,1/12/2017,3:10:53,January,Thursday,DISTURBANCE IP,N WALNUT ST & E 6TH ST,LB101,BPD,NO REPORT
B17-01237,1/12/2017,3:10:57,January,Thursday,DISTURBANCE IP,N WALNUT ST & E 6TH ST,LB101,BPD,NO REPORT
B17-01238,1/12/2017,3:26:38,January,Thursday,NOISE,1700 N WALNUT ST;PARKVIEW APTS;  APT 202,LB212,BPD,NO REPORT
B17-01240,1/12/2017,3:58:47,January,Thursday,NOISE,402 E VARSITY LN,LB212,BPD,NO REPORT
B17-01243,1/12/2017,5:10:06,January,Thursday,DRUNK,120 W 7TH ST; ONE CITY CENTER,LB101,BPD,REPORT NEEDED
B17-01245,1/12/2017,7:01:17,January,Thursday,DISTURBANCE IP,2511 N KINSER PIKE,LB510,BPD,NO REPORT
B17-01271,1/12/2017,13:00:10,January,Thursday,PANHANDLING,3233 W 3RD ST; BOB EVANS,LB403,BPD,NO REPORT
B17-01273,1/12/2017,13:35:41,January,Thursday,DRUNK,405 E KIRKWOOD AVE; CAFE PIZZARIA; CAFE PIZZA,LB102,BPD,NO REPORT
B17-01278,1/12/2017,14:29:18,January,Thursday,DRUNK,702 S WALNUT ST; I MECHANIC,LB410,BPD,NO REPORT
B17-01282,1/12/2017,14:47:04,January,Thursday,DRUNK,110 N WALNUT ST; OPIE TAYLORS,LB102,BPD,NO REPORT
B17-01296,1/12/2017,16:38:06,January,Thursday,DRUNK,303 E KIRKWOOD AVE,LB102,BPD,NO REPORT
B17-01297,1/12/2017,16:48:52,January,Thursday,DISTURBANCE IP,301 S WALNUT ST,LB104,BPD,NO REPORT
B17-01304,1/12/2017,18:34:48,January,Thursday,DRUNK,303 E KIRKWOOD AVE; MONROE COUNTY PUBLIC LIBRARY,LB102,BPD,NO REPORT
B17-01309,1/12/2017,19:26:15,January,Thursday,DRUNK,S GRANT ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT
B17-01310,1/12/2017,19:29:17,January,Thursday,DISTURBANCE IP,301 W 2ND ST; NEW HOPE FAMILY SHELTER,LB409,BPD,REPORT NEEDED
B17-01321,1/12/2017,21:03:13,January,Thursday,DRUNK,500 S LIBERTY DR; KROGER WHITEHALL,LB403,BPD,NO REPORT
B17-01336,1/12/2017,23:14:44,January,Thursday,NOISE,710 N COLLEGE AVE,LB519,BPD,NO REPORT
B17-01338,1/12/2017,23:27:02,January,Thursday,NOISE,310 N BRYAN AVE,LB222,BPD,NO REPORT
B17-01362,1/13/2017,2:41:20,January,Friday,DRUNK,517 E KIRKWOOD AVE; NOODLES AND COMPANY KIRKWOOD,LB102,BPD,NO REPORT
B17-01363,1/13/2017,2:55:46,January,Friday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT
B17-01366,1/13/2017,3:14:34,January,Friday,DISTURBANCE IP,320 S DUNN ST; BURNAM RENTALS,LB104,BPD,NO REPORT
B17-01370,1/13/2017,3:41:51,January,Friday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT
B17-01373,1/13/2017,6:22:10,January,Friday,DISTURBANCE IP,12TH & ILLINOIS,LB517,BPD,NO REPORT
B17-01382,1/13/2017,8:35:27,January,Friday,VANDALISM NP,3100 S WALNUT STREET PIKE; APT B147,LB336,BPD,REPORT NEEDED
B17-01395,1/13/2017,11:14:48,January,Friday,DISTURBANCE IP,120 S KINGSTON DR; APT F64,LB221,BPD,NO REPORT
B17-01406,1/13/2017,13:14:09,January,Friday,VANDALISM NP,2345 S BURBERRY LN,LB326,BPD,REPORT NEEDED
B17-01428,1/13/2017,15:40:45,January,Friday,DISTURBANCE IP,512 N COLLEGE AVE,LB101,BPD,NO REPORT
B17-01431,1/13/2017,15:57:49,January,Friday,PANHANDLING,W JACOB DR & S GATES DR,LB524,BPD,NO REPORT
B17-01435,1/13/2017,16:44:56,January,Friday,DRUNK,303 E KIRKWOOD AVE,LB102,BPD,NO REPORT
B17-01439,1/13/2017,17:22:16,January,Friday,VANDALISM NP,2800 E WINSTON ST,LB319,BPD,NO REPORT
B17-01453,1/13/2017,18:56:34,January,Friday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B172,LB336,BPD,NO REPORT
B17-01466,1/13/2017,20:46:02,January,Friday,DRUNK,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,NO REPORT
B17-01467,1/13/2017,20:51:23,January,Friday,ALCOHOL RELATED,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,NO REPORT
B17-01471,1/13/2017,21:30:18,January,Friday,DISTURBANCE IP,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,NO REPORT
B17-01477,1/13/2017,22:08:17,January,Friday,NOISE,3335 S ACADIA CT,LB329,BPD,NO REPORT
B17-01488,1/13/2017,23:05:28,January,Friday,DRUNK,630 E ATWATER AVE,LB302,BPD,NO REPORT
B17-01489,1/13/2017,23:11:00,January,Friday,NOISE,1480 N KINSER PIKE; APT B8,LB512,BPD,NO REPORT
B17-01498,1/13/2017,23:58:11,January,Friday,NOISE,1445 S WEATHERSTONE LN,LB313,BPD,REPORT NEEDED
B17-01499,1/14/2017,0:02:55,January,Saturday,NOISE,1738 N LINCOLN ST,LB212,BPD,NO REPORT
B17-01500,1/14/2017,0:29:09,January,Saturday,NOISE,3335 S ACADIA CT,LB329,BPD,NO REPORT
B17-01506,1/14/2017,0:55:25,January,Saturday,NOISE,S FESS AVE & E GRIMES LN,LB313,BPD,NO REPORT
B17-01507,1/14/2017,1:20:01,January,Saturday,DISTURBANCE IP,3900 E 3RD ST; OFFICE LOUNGE,LB307,BPD,NO REPORT
B17-01514,1/14/2017,2:40:21,January,Saturday,DISTURBANCE IP,324 E 2ND ST; HISTORIC 324 E 2ND ST HOUSE,LB301,BPD,REPORT NEEDED
B17-01520,1/14/2017,4:03:22,January,Saturday,NOISE,815 N COLLEGE AVE; apt 10,LB519,BPD,NO REPORT
B17-01527,1/14/2017,8:41:47,January,Saturday,DISTURBANCE IP,1119 W 7TH ST,LB521,BPD,NO REPORT
B17-01531,1/14/2017,10:31:39,January,Saturday,DRUNK,303 E KIRKWOOD AVE; MONROE COUNTY PUBLIC LIBRARY,LB102,BPD,NO REPORT
B17-01537,1/14/2017,12:20:10,January,Saturday,DISTURBANCE IP,N LINCOLN ST & E 6TH ST,LB102,BPD,NO REPORT
B17-01543,1/14/2017,13:45:41,January,Saturday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,NO REPORT
B17-01553,1/14/2017,14:44:10,January,Saturday,VANDALISM NP,1000 S GRAYWELL DR,LB308,BPD,REPORT NEEDED
B17-01585,1/14/2017,19:16:38,January,Saturday,DISTURBANCE IP,2036 N WALNUT ST,LB212,BPD,NO REPORT
B17-01602,1/14/2017,21:10:07,January,Saturday,NOISE,570 S PARK RIDGE RD; APT 302A,LB307,BPD,NO REPORT
B17-01603,1/14/2017,21:33:25,January,Saturday,NOISE,601 N COLLEGE AVE; apt 212  10th & college apts,LB519,BPD,NO REPORT
B17-01607,1/14/2017,22:11:26,January,Saturday,NOISE,1700 N WALNUT ST; APT 202  PARK VIEW APTS,LB212,BPD,NO REPORT
B17-01608,1/14/2017,22:13:56,January,Saturday,NOISE,2500 S ROCKPORT RD; APT 105,LB424,BPD,NO REPORT
B17-01616,1/14/2017,23:07:40,January,Saturday,NOISE,817 N WASHINGTON ST,LB213,BPD,NO REPORT
B17-01621,1/14/2017,23:47:29,January,Saturday,NOISE,304 E 20TH ST,LB212,BPD,NO REPORT
B17-01623,1/15/2017,0:20:27,January,Sunday,NOISE,2303 E 2ND ST; BART VILLA APARTMENTS 2; APT 6,LB304,BPD,NO REPORT
B17-01625,1/15/2017,1:29:49,January,Sunday,DISTURBANCE IP,401 E 19TH ST,LB212,BPD,NO REPORT
B17-01627,1/15/2017,2:04:25,January,Sunday,NOISE,216 N WALNUT ST; BLUE BIRD,LB102,BPD,NO REPORT
B17-01628,1/15/2017,2:11:07,January,Sunday,NOISE,414 S RONSON ST; APT 37101,LB406,BPD,NO REPORT
B17-01636,1/15/2017,3:28:19,January,Sunday,VANDALISM NP,2339 S TERRA CT,LB424,BPD,REPORT NEEDED
B17-01637,1/15/2017,3:36:27,January,Sunday,DISTURBANCE IP,2405 S WINSLOW CT,LB326,BPD,REPORT NEEDED
B17-01638,1/15/2017,3:53:11,January,Sunday,DISTURBANCE IP,455 N COLLEGE AVE,LB101,BPD,NO REPORT
B17-01639,1/15/2017,3:57:32,January,Sunday,NOISE,2036 N WALNUT ST;APT 6C,LB212,BPD,NO REPORT
B17-01643,1/15/2017,4:56:11,January,Sunday,NOISE,601 N COLLEGE AVE ; 10TH & COLLEGE APTS,LB519,BPD,NO REPORT
B17-01679,1/15/2017,18:32:29,January,Sunday,DRUNK,1800 N WALNUT ST; MOTEL 6,LB212,BPD,NO REPORT
B17-01681,1/15/2017,18:50:10,January,Sunday,DISTURBANCE IP,2373 S BRANDON CT,LB326,BPD,NO REPORT
B17-01683,1/15/2017,18:57:16,January,Sunday,NOISE,3712 E ST REMY DR,LB322,BPD,NO REPORT
B17-01692,1/15/2017,21:47:15,January,Sunday,DISTURBANCE IP,703 W GOURLEY PIKE; apt 162,LB513,BPD,NO REPORT
B17-01693,1/15/2017,21:45:34,January,Sunday,DISTURBANCE IP,E 3RD ST & S PETE ELLIS DR,LB305,BPD,NO REPORT
B17-01701,1/15/2017,22:34:43,January,Sunday,NOISE,1323 S FENBROOK LN,LB309,BPD,NO REPORT
B17-01702,1/15/2017,23:09:24,January,Sunday,DISTURBANCE IP,S COPPER BEECH WAY & W ALDER CT,LB415,BPD,NO REPORT
B17-01703,1/15/2017,23:09:14,January,Sunday,NOISE,504 S MULLER PKWY,LB404,BPD,NO REPORT
B17-01706,1/15/2017,23:59:30,January,Sunday,NOISE,521 S PARK AVE,LB302,BPD,NO REPORT
B17-01708,1/16/2017,0:32:05,January,Monday,DRUNK,521 S PARK AVE,LB302,BPD,REPORT NEEDED
B17-01712,1/16/2017,1:07:15,January,Monday,NOISE,414 S HENDERSON ST,LB104,BPD,NO REPORT
B17-01715,1/16/2017,1:55:42,January,Monday,NOISE,3840 E 10TH ST,LB220,BPD,NO REPORT
B17-01728,1/16/2017,8:37:51,January,Monday,VANDALISM NP,420 E 19TH ST,LB212,BPD,REPORT NEEDED
B17-01760,1/16/2017,13:45:40,January,Monday,DISTURBANCE IP,3477 W 3RD ST; PLANET FITNESS,LB403,BPD,NO REPORT
B17-01770,1/16/2017,14:57:21,January,Monday,DISTURBANCE IP,2100 N WALNUT ST; HAMPTON INN; RM 134,LB212,BPD,NO REPORT
