Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurrence,Reporting District,Agency,Report/No Report
B16-37281,9/17/16,4:39 PM,September,Saturday,DISTURBANCE IP,1600 N WILLIS DR; LOT 91,LB513,BPD,NO REPORT NEEDED
B16-37256,9/17/16,1:57 PM,September,Saturday,DISTURBANCE IP,3477 W 3RD ST; PLANET FITNESS,LB403,BPD,NO REPORT NEEDED
B16-37247,9/17/16,12:32 PM,September,Saturday,DISTURBANCE IP,3751 N KINSER PIKE,LB507,BPD,NO REPORT NEEDED
B16-37221,9/17/16,5:43 AM,September,Saturday,DISTURBANCE IP,1130 S MADISON ST,LB412,BPD,REPORT NEEDED
B16-37213,9/17/16,3:29 AM,September,Saturday,DISTURBANCE IP,211 N WALNUT ST; STE 1;BTOWN DINER,LB101,BPD,NO REPORT NEEDED
B16-37209,9/17/16,2:50 AM,September,Saturday,DISTURBANCE IP,344 S DUNN ST; (or possible bldg 352),LB104,BPD,NO REPORT NEEDED
B16-37207,9/17/16,2:20 AM,September,Saturday,DISTURBANCE IP,S GRANT ST & E 2ND ST,LB301,BPD,NO REPORT NEEDED
B16-37204,9/17/16,2:01 AM,September,Saturday,DISTURBANCE IP,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,REPORT NEEDED
B16-37196,9/17/16,1:20 AM,September,Saturday,DISTURBANCE IP,1722 N WALNUT ST; AMERICAS BEST VALUE INN; ROOM 106,LB212,BPD,NO REPORT NEEDED
B16-37187,9/17/16,12:53 AM,September,Saturday,DISTURBANCE IP,N WALNUT ST & E 9TH ST,LB101,BPD,NO REPORT NEEDED
B16-37179,9/17/16,12:01 AM,September,Saturday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-37118,9/16/16,4:45 PM,September,Friday,DISTURBANCE IP,822 W 3RD ST,LB408,BPD,NO REPORT NEEDED
B16-37095,9/16/16,3:06 PM,September,Friday,DISTURBANCE IP,2716 E 10TH ST; SCHOLARS QUAD COLLEGIATE APARTMENTS,LB221,BPD,NO REPORT NEEDED
B16-37021,9/16/16,3:46 AM,September,Friday,DISTURBANCE IP,1700 N KINSER PIKE; COMFORT INN,LB512,BPD,REPORT NEEDED
B16-37003,9/16/16,12:48 AM,September,Friday,DISTURBANCE IP,430 E KIRKWOOD AVE; Z & C,LB104,BPD,NO REPORT NEEDED
B16-36967,9/15/16,7:48 PM,September,Thursday,DISTURBANCE IP,3123 S ACADIA CT,LB329,BPD,NO REPORT NEEDED
B16-36966,9/15/16,7:34 PM,September,Thursday,DISTURBANCE IP,1315 W 13TH ST,LB517,BPD,REPORT NEEDED
B16-36854,9/14/16,9:22 PM,September,Wednesday,DISTURBANCE IP,3402 W SPRUCE DR,LB417,BPD,NO REPORT NEEDED
B16-36853,9/14/16,8:49 PM,September,Wednesday,DISTURBANCE IP,2100 S LIBERTY DR  STE C; EL RANCHERO SOUTH,LB416,BPD,NO REPORT NEEDED
B16-36743,9/13/16,11:59 PM,September,Tuesday,DISTURBANCE IP,430 E KIRKWOOD AVE; DUNKIRK SQUARE,LB104,BPD,NO REPORT NEEDED
B16-36717,9/13/16,8:41 PM,September,Tuesday,DISTURBANCE IP,1100 W RAPPEL AVE; QUALITY INN; QUALITY INN,LB510,BPD,NO REPORT NEEDED
B16-36694,9/13/16,5:53 PM,September,Tuesday,DISTURBANCE IP,322 S GRANT ST,LB104,BPD,REPORT NEEDED
B16-36639,9/13/16,10:08 AM,September,Tuesday,DISTURBANCE IP,1965 S WALNUT ST; BLOOMINGTON HIGH SCHOOL SOUTH,LB315,BPD,REPORT NEEDED
B16-36605,9/13/16,3:11 AM,September,Tuesday,DISTURBANCE IP,2504 S ROGERS ST,LB423,BPD,REPORT NEEDED
B16-36604,9/13/16,2:18 AM,September,Tuesday,DISTURBANCE IP,313 W 13TH ST,LB519,BPD,NO REPORT NEEDED
B16-36560,9/12/16,7:08 PM,September,Monday,DISTURBANCE IP,2929 W 3RD ST; AMC SHOWPLACE THEATER 12 WEST,LB404,BPD,NO REPORT NEEDED
B16-36546,9/12/16,4:50 PM,September,Monday,DISTURBANCE IP,2501 W 3RD ST; TIRE AND WHEEL CENTERS INC,LB404,BPD,NO REPORT NEEDED
B16-36533,9/12/16,3:44 PM,September,Monday,DISTURBANCE IP,303 E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-36455,9/12/16,12:28 AM,September,Monday,DISTURBANCE IP,1933 S CURRY PIKE; HIGHLAND LOUNGE,LB416,BPD,NO REPORT NEEDED
B16-36397,9/11/16,3:49 PM,September,Sunday,DISTURBANCE IP,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,NO REPORT NEEDED
B16-36377,9/11/16,1:05 PM,September,Sunday,DISTURBANCE IP,117 E 19TH ST;APT B,LB212,BPD,NO REPORT NEEDED
B16-36347,9/11/16,3:23 AM,September,Sunday,DISTURBANCE IP,N DUNN ST & E 10TH ST,LB214,BPD,NO REPORT NEEDED
B16-36341,9/11/16,2:21 AM,September,Sunday,DISTURBANCE IP,345 S COLLEGE AVE; MIDTOWN LOFTS,LB103,BPD,REPORT NEEDED
B16-36338,9/11/16,2:06 AM,September,Sunday,DISTURBANCE IP,N DUNN ST & E 19TH ST,LB212,BPD,NO REPORT NEEDED
B16-36337,9/11/16,1:58 AM,September,Sunday,DISTURBANCE IP,430 E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-36293,9/10/16,9:45 PM,September,Saturday,DISTURBANCE IP,409 E KIRKWOOD AVE; VILLAGE DELI,LB102,BPD,NO REPORT NEEDED
B16-36292,9/10/16,9:36 PM,September,Saturday,DISTURBANCE IP,300 N COLLEGE AVE,LB101,BPD,NO REPORT NEEDED
B16-36284,9/10/16,8:40 PM,September,Saturday,DISTURBANCE IP,2042 E WINSLOW RD,LB330,BPD,NO REPORT NEEDED
B16-36268,9/10/16,7:39 PM,September,Saturday,DISTURBANCE IP,430 E KIRKWOOD AVE; UPSTAIRS PUB,LB104,BPD,REPORT NEEDED
B16-36267,9/10/16,7:29 PM,September,Saturday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; COURTYARD,LB336,BPD,NO REPORT NEEDED
B16-36265,9/10/16,7:24 PM,September,Saturday,DISTURBANCE IP,1894 N DUNN ST,LIU07,BPD,NO REPORT NEEDED
B16-36256,9/10/16,6:03 PM,September,Saturday,DISTURBANCE IP,N DUNN ST & E 9TH ST,LB102,BPD,NO REPORT NEEDED
B16-36244,9/10/16,4:33 PM,September,Saturday,DISTURBANCE IP,1619 S DORCHESTER DR; DORCHESTER TOWNHOUSES,LB317,BPD,NO REPORT NEEDED
B16-36216,9/10/16,1:23 PM,September,Saturday,DISTURBANCE IP,3404 S IVY LN,LB428,BPD,REPORT NEEDED
B16-36210,9/10/16,12:48 PM,September,Saturday,DISTURBANCE IP,2420 S WINSLOW CT; BLDG 4;WINSLOW PLAZA LAUNDRY MAT,LB326,BPD,NO REPORT NEEDED
B16-36209,9/10/16,12:48 PM,September,Saturday,DISTURBANCE IP,2308 S FORD AVE,LB423,BPD,REPORT NEEDED
B16-36188,9/10/16,10:12 AM,September,Saturday,DISTURBANCE IP,N LINCOLN ST & E 6TH ST,LB102,BPD,NO REPORT NEEDED
B16-36168,9/10/16,3:16 AM,September,Saturday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-36167,9/10/16,3:12 AM,September,Saturday,DISTURBANCE IP,1730 S WALNUT ST; NIGHT MOVES,LB421,BPD,NO REPORT NEEDED
B16-36162,9/10/16,2:27 AM,September,Saturday,DISTURBANCE IP,N WALNUT ST & E 7TH ST,LB102,BPD,NO REPORT NEEDED
B16-36158,9/10/16,1:44 AM,September,Saturday,DISTURBANCE IP,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-36152,9/10/16,1:21 AM,September,Saturday,DISTURBANCE IP,512 S BASSWOOD DR; APT N,LB404,BPD,NO REPORT NEEDED
B16-36104,9/9/16,9:26 PM,September,Friday,DISTURBANCE IP,1057 N OOLITIC DR,LB517,BPD,NO REPORT NEEDED
B16-36101,9/9/16,9:04 PM,September,Friday,DISTURBANCE IP,430 E KIRKWOOD AVE; DUNKIRK SQUARE,LB104,BPD,NO REPORT NEEDED
B16-36099,9/9/16,9:00 PM,September,Friday,DISTURBANCE IP,S LINCOLN ST & E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-36049,9/9/16,3:56 PM,September,Friday,DISTURBANCE IP,718 E HUNTER AVE,LB302,BPD,NO REPORT NEEDED
B16-35973,9/9/16,8:54 AM,September,Friday,DISTURBANCE IP,211 S KIMBLE DR,LB523,BPD,NO REPORT NEEDED
B16-35965,9/9/16,7:27 AM,September,Friday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,NO REPORT NEEDED
B16-35879,9/8/16,5:27 PM,September,Thursday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,REPORT NEEDED
B16-35847,9/8/16,1:21 PM,September,Thursday,DISTURBANCE IP,S ROCKPORT RD & W COUNTRYSIDE LN,LB420,BPD,NO REPORT NEEDED
B16-35841,9/8/16,11:58 AM,September,Thursday,DISTURBANCE IP,430 E KIRKWOOD AVE; JIMMY JOHNS KIRKWOOD,LB104,BPD,NO REPORT NEEDED
B16-35838,9/8/16,11:48 AM,September,Thursday,DISTURBANCE IP,2500 S ROCKPORT RD; APT 1502,LB424,BPD,NO REPORT NEEDED
B16-35831,9/8/16,11:06 AM,September,Thursday,DISTURBANCE IP,2906 E BUICK CADILLAC BLVD; CURRY BUICK COLLISION CENTER,LB310,BPD,NO REPORT NEEDED
B16-35752,9/7/16,8:14 PM,September,Wednesday,DISTURBANCE IP,2304 S ROGERS ST,LB423,BPD,NO REPORT NEEDED
B16-35751,9/7/16,8:10 PM,September,Wednesday,DISTURBANCE IP,300 E DIXIE ST,LB314,BPD,NO REPORT NEEDED
B16-35711,9/7/16,2:31 PM,September,Wednesday,DISTURBANCE IP,S MORTON ST & W 2ND ST,LB410,BPD,NO REPORT NEEDED
B16-35693,9/7/16,12:24 PM,September,Wednesday,DISTURBANCE IP,2929 W 3RD ST; AMC SHOWPLACE THEATER 12 WEST,LB404,BPD,REPORT NEEDED
B16-35654,9/7/16,5:18 AM,September,Wednesday,DISTURBANCE IP,406 E 6TH ST,LB102,BPD,REPORT NEEDED
B16-35649,9/7/16,2:49 AM,September,Wednesday,DISTURBANCE IP,1112 W 12TH ST,LB517,BPD,NO REPORT NEEDED
B16-35639,9/7/16,12:22 AM,September,Wednesday,DISTURBANCE IP,120 S KINGSTON DR; APT D41,LB221,BPD,NO REPORT NEEDED
B16-35612,9/6/16,8:47 PM,September,Tuesday,DISTURBANCE IP,2440 S HENDERSON ST; APT 309,LB327,BPD,NO REPORT NEEDED
B16-35574,9/6/16,4:24 PM,September,Tuesday,DISTURBANCE IP,2482 S WALNUT ST ; THE COIN SHOP,LB422,BPD,NO REPORT NEEDED
B16-35525,9/6/16,10:13 AM,September,Tuesday,DISTURBANCE IP,454 S WESTPLEX AVE,LB406,BPD,NO REPORT NEEDED
B16-35506,9/6/16,6:11 AM,September,Tuesday,DISTURBANCE IP,S WASHINGTON ST & E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-35491,9/6/16,12:40 AM,September,Tuesday,DISTURBANCE IP,2500 S ROCKPORT RD; APT 1303,LB424,BPD,NO REPORT NEEDED
B16-35477,9/5/16,10:44 PM,September,Monday,DISTURBANCE IP,N ILLINOIS ST & W 12TH ST,LB517,BPD,NO REPORT NEEDED
B16-35468,9/5/16,9:43 PM,September,Monday,DISTURBANCE IP,422 E KIRKWOOD AVE; WHICH WICH,LB104,BPD,REPORT NEEDED
B16-35463,9/5/16,8:59 PM,September,Monday,DISTURBANCE IP,313 E 3RD ST; BAKED,LB104,BPD,NO REPORT NEEDED
B16-35461,9/5/16,8:48 PM,September,Monday,DISTURBANCE IP,501 N COLLEGE AVE; SPRINGHILL SUITES,LB101,BPD,REPORT NEEDED
B16-35458,9/5/16,7:49 PM,September,Monday,DISTURBANCE IP,420 E KIRKWOOD AVE; CHIPOTLE MEXICAN GRILL KIRKWOOD,LB104,BPD,NO REPORT NEEDED
B16-35450,9/5/16,6:10 PM,September,Monday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT NEEDED
B16-35405,9/5/16,12:29 PM,September,Monday,DISTURBANCE IP,N MONROE ST & W 16TH ST,LB517,BPD,REPORT NEEDED
B16-35401,9/5/16,11:42 AM,September,Monday,DISTURBANCE IP,3209 E 10TH ST; D3,LB216,BPD,NO REPORT NEEDED
B16-35394,9/5/16,10:42 AM,September,Monday,DISTURBANCE IP,714 S FAIRVIEW ST,LB409,BPD,NO REPORT NEEDED
B16-35392,9/5/16,9:23 AM,September,Monday,DISTURBANCE IP,307 N JEFFERSON ST,LIU12,BPD,REPORT NEEDED
B16-35373,9/5/16,2:24 AM,September,Monday,DISTURBANCE IP,1280 N COLLEGE AVE; SQUARE DONUTS NORTH,LB519,BPD,NO REPORT NEEDED
B16-35356,9/4/16,11:42 PM,September,Sunday,DISTURBANCE IP,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,NO REPORT NEEDED
B16-35312,9/4/16,5:36 PM,September,Sunday,DISTURBANCE IP,514 N PLYMOUTH RD,LB219,BPD,NO REPORT NEEDED
B16-35286,9/4/16,1:00 PM,September,Sunday,DISTURBANCE IP,2412 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-35282,9/4/16,12:21 PM,September,Sunday,DISTURBANCE IP,800 N SMITH RD; BLG R,LB218,BPD,NO REPORT NEEDED
B16-35257,9/4/16,3:21 AM,September,Sunday,DISTURBANCE IP,211 S KIMBLE DR; B15,LB523,BPD,NO REPORT NEEDED
B16-35233,9/4/16,12:36 AM,September,Sunday,DISTURBANCE IP,216 N WALNUT ST; BLUE BIRD,LB102,BPD,NO REPORT NEEDED
B16-35226,9/3/16,11:31 PM,September,Saturday,DISTURBANCE IP,1401 N DUNN ST; CONVENIENT FOOD MART,LB212,BPD,NO REPORT NEEDED
