Incident,Date Reported,Time Reported,Month Reported,Day of Week,Nature,Incident address,Area,Agency,Clearance Code desc
B16-50333,12/20/2016,19:01:39,December,Tuesday,DISTURBANCE IP,1104 N GRANT ST,LB213,BPD,REPORT NEEDED
B16-50312,12/20/2016,16:11:18,December,Tuesday,DISTURBANCE IP,301 S WALNUT ST; TRANSIT STATION,LB104,BPD,NO REPORT NEEDED
B16-50311,12/20/2016,16:06:28,December,Tuesday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,NO REPORT NEEDED
B16-50288,12/20/2016,12:27:03,December,Tuesday,DISTURBANCE IP,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,REPORT NEEDED
B16-50256,12/20/2016,6:24:45,December,Tuesday,DISTURBANCE IP,2420 E 3RD ST; FIRST UNITED CHURCH,LB304,BPD,NO REPORT NEEDED
B16-50231,12/19/2016,19:57:23,December,Monday,DISTURBANCE IP,121 E KIRKWOOD AVE; CVS DOWNTOWN,LB102,BPD,REPORT NEEDED
B16-50187,12/19/2016,12:51:03,December,Monday,DISTURBANCE IP,3225 S WALNUT ST ; ROYAL SOUTH,LB336,BPD,NO REPORT NEEDED
B16-50175,12/19/2016,11:12:30,December,Monday,DISTURBANCE IP,421 S LANDMARK AVE; MONROE MEDICAL GROUP,LB406,BPD,NO REPORT NEEDED
B16-50162,12/19/2016,7:44:53,December,Monday,DISTURBANCE IP,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,NO REPORT NEEDED
B16-50152,12/19/2016,2:11:32,December,Monday,DISTURBANCE IP,606 E SHERWOOD HILLS DR,LB329,BPD,NO REPORT NEEDED
B16-50072,12/18/2016,3:48:18,December,Sunday,DISTURBANCE IP,N WALNUT ST & E 7TH ST,LB102,BPD,NO REPORT NEEDED
B16-50067,12/18/2016,2:17:44,December,Sunday,DISTURBANCE IP,1005 N ROGERS ST; APT 9A,LB518,BPD,NO REPORT NEEDED
B16-50066,12/18/2016,2:08:43,December,Sunday,DISTURBANCE IP,541 E SMITH AVE,LB104,BPD,NO REPORT NEEDED
B16-50008,12/17/2016,14:16:52,December,Saturday,DISTURBANCE IP,303 E KIRKWOOD AVE; MONROE COUNTY LIBRARY,LB102,BPD,REPORT NEEDED
B16-49986,12/17/2016,4:35:37,December,Saturday,DISTURBANCE IP,120 S KINGSTON DR; APT 64,LB221,BPD,REPORT NEEDED
B16-49982,12/17/2016,3:21:46,December,Saturday,DISTURBANCE IP,120 S KINGSTON DR; APT 64;,LB221,BPD,NO REPORT NEEDED
B16-49981,12/17/2016,3:19:20,December,Saturday,DISTURBANCE IP,425 N HAY ST,LB521,BPD,NO REPORT NEEDED
B16-49977,12/17/2016,2:36:43,December,Saturday,DISTURBANCE IP,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,NO REPORT NEEDED
B16-49921,12/16/2016,19:08:01,December,Friday,DISTURBANCE IP,2966 E 3RD ST; TARGET,LB305,BPD,NO REPORT NEEDED
B16-49911,12/16/2016,18:18:55,December,Friday,DISTURBANCE IP,301 S WALNUT ST; BT BUS TERMINAL,LB104,BPD,NO REPORT NEEDED
B16-49853,12/16/2016,10:17:48,December,Friday,DISTURBANCE IP,409 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-49842,12/16/2016,8:01:32,December,Friday,DISTURBANCE IP,923 N MONROE ST,LB517,BPD,NO REPORT NEEDED
B16-49831,12/16/2016,3:46:00,December,Friday,DISTURBANCE IP,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,NO REPORT NEEDED
B16-49788,12/15/2016,18:33:36,December,Thursday,DISTURBANCE IP,303 E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-49783,12/15/2016,17:55:07,December,Thursday,DISTURBANCE IP,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,NO REPORT NEEDED
B16-49767,12/15/2016,15:57:44,December,Thursday,DISTURBANCE IP,2700 E 3RD ST,LB221,BPD,NO REPORT NEEDED
B16-49755,12/15/2016,14:40:17,December,Thursday,DISTURBANCE IP,303 E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-49744,12/15/2016,13:44:02,December,Thursday,DISTURBANCE IP,703 W GOURLEY PIKE; OFFICE,LB513,BPD,NO REPORT NEEDED
B16-49742,12/15/2016,13:30:03,December,Thursday,DISTURBANCE IP,501 N COLLEGE AVE; SPRINGHILL SUITES,LB101,BPD,NO REPORT NEEDED
B16-49737,12/15/2016,12:45:00,December,Thursday,DISTURBANCE IP,703 W GOURLEY PIKE; APT 182,LB513,BPD,NO REPORT NEEDED
B16-49720,12/15/2016,9:14:59,December,Thursday,DISTURBANCE IP,645 S ROGERS ST; CENTERSTONE EAST 1,LB409,BPD,NO REPORT NEEDED
B16-49690,12/15/2016,1:34:41,December,Thursday,DISTURBANCE IP,409 S SWAIN AVE,LB303,BPD,NO REPORT NEEDED
B16-49666,12/14/2016,20:27:45,December,Wednesday,DISTURBANCE IP,809 S WHITLEY DR,LB307,BPD,NO REPORT NEEDED
B16-49641,12/14/2016,16:52:40,December,Wednesday,DISTURBANCE IP,2500 S ROCKPORT RD; APT 1906,LB424,BPD,NO REPORT NEEDED
B16-49632,12/14/2016,15:41:38,December,Wednesday,DISTURBANCE IP,S WASHINGTON ST & E 3RD ST,LB104,BPD,NO REPORT NEEDED
B16-49613,12/14/2016,13:35:52,December,Wednesday,DISTURBANCE IP,405 E KIRKWOOD AVE; CAFE PIZZARIA,LB102,BPD,NO REPORT NEEDED
B16-49607,12/14/2016,12:29:32,December,Wednesday,DISTURBANCE IP,645 S ROGERS ST; CENTERSTONE EAST 1,LB409,BPD,NO REPORT NEEDED
B16-49586,12/14/2016,7:56:39,December,Wednesday,DISTURBANCE IP,2950 N BANKERS DR,LB208,BPD,NO REPORT NEEDED
B16-49539,12/13/2016,19:23:05,December,Tuesday,DISTURBANCE IP,1005 N ROGERS ST; APT 11,LB518,BPD,NO REPORT NEEDED
B16-49501,12/13/2016,15:12:42,December,Tuesday,DISTURBANCE IP,1713 S BIRCH LN,LB417,BPD,NO REPORT NEEDED
B16-49493,12/13/2016,14:20:28,December,Tuesday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,REPORT NEEDED
B16-49487,12/13/2016,12:26:54,December,Tuesday,DISTURBANCE IP,811 W 2ND ST,LB409,BPD,NO REPORT NEEDED
B16-49447,12/13/2016,1:45:24,December,Tuesday,DISTURBANCE IP,406 E 6TH ST,LB102,BPD,NO REPORT NEEDED
B16-49428,12/12/2016,21:53:18,December,Monday,DISTURBANCE IP,412 E 6TH ST; RUNCIBLE SPOON,LB102,BPD,NO REPORT NEEDED
B16-49369,12/12/2016,14:19:07,December,Monday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT A78,LB336,BPD,REPORT NEEDED
B16-49357,12/12/2016,12:37:08,December,Monday,DISTURBANCE IP,1602 S WALNUT ST; FAST MAX,LB421,BPD,NO REPORT NEEDED
B16-49330,12/12/2016,3:54:40,December,Monday,DISTURBANCE IP,1900 S WALNUT ST; HERALD-TIMES,LB421,BPD,NO REPORT NEEDED
B16-49329,12/12/2016,3:32:58,December,Monday,DISTURBANCE IP,S WALNUT ST & E GRIMES LN,LB314,BPD,NO REPORT NEEDED
B16-49327,12/12/2016,2:40:44,December,Monday,DISTURBANCE IP,545 S PARK RIDGE RD; APT 11204 RESERVE ON 3RD APTS,LB307,BPD,NO REPORT NEEDED
B16-49310,12/11/2016,20:34:11,December,Sunday,DISTURBANCE IP,200 E STATE ROAD 45 46 BYPASS; DAYS INN BLOOMINGTON,LB212,BPD,NO REPORT NEEDED
B16-49309,12/11/2016,20:12:41,December,Sunday,DISTURBANCE IP,2303 S BROWN AVE,LB423,BPD,NO REPORT NEEDED
B16-49243,12/11/2016,3:18:18,December,Sunday,DISTURBANCE IP,N LINCOLN ST & E 18TH ST,LB212,BPD,NO REPORT NEEDED
B16-49225,12/11/2016,0:29:14,December,Sunday,DISTURBANCE IP,425 N DUNN ST,LB102,BPD,NO REPORT NEEDED
B16-49217,12/10/2016,23:34:26,December,Saturday,DISTURBANCE IP,430 E KIRKWOOD AVE; DUNNKIRK SQUARE,LB104,BPD,NO REPORT NEEDED
B16-49215,12/10/2016,23:31:11,December,Saturday,DISTURBANCE IP,430 E KIRKWOOD AVE; JIMMY JOHNS KIRKWOOD,LB104,BPD,NO REPORT NEEDED
B16-49214,12/10/2016,23:12:15,December,Saturday,DISTURBANCE IP,912 S COPPER BEECH WAY,LB415,BPD,NO REPORT NEEDED
B16-49206,12/10/2016,22:37:35,December,Saturday,DISTURBANCE IP,3650 S LEONARD SPRINGS RD; HEATHERWOOD MOBILE HOME PARK,LB428,BPD,NO REPORT NEEDED
B16-49192,12/10/2016,19:58:02,December,Saturday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,REPORT NEEDED
B16-49163,12/10/2016,16:26:48,December,Saturday,DISTURBANCE IP,102 E KIRKWOOD AVE; THE UPTOWN CAFE,LB104,BPD,NO REPORT NEEDED
B16-49133,12/10/2016,11:48:09,December,Saturday,DISTURBANCE IP,303 E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-49117,12/10/2016,7:23:19,December,Saturday,DISTURBANCE IP,322 E KIRKWOOD AVE;SOMA,LB104,BPD,NO REPORT NEEDED
B16-49115,12/10/2016,6:30:17,December,Saturday,DISTURBANCE IP,1724 E HILLSIDE DR; APT A BEECHTREE APARTMENTS,LB317,BPD,NO REPORT NEEDED
B16-49113,12/10/2016,5:30:58,December,Saturday,DISTURBANCE IP,1319 W GOURLEY PIKE,LB514,BPD,REPORT NEEDED
B16-49101,12/10/2016,2:31:08,December,Saturday,DISTURBANCE IP,308 E 18TH ST,LB212,BPD,NO REPORT NEEDED
B16-49078,12/9/2016,23:29:24,December,Friday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6; RM 145,LB212,BPD,NO REPORT NEEDED
B16-49062,12/9/2016,20:56:45,December,Friday,DISTURBANCE IP,N WASHINGTON ST & E 6TH ST,LB102,BPD,NO REPORT NEEDED
B16-49020,12/9/2016,16:14:09,December,Friday,DISTURBANCE IP,2365 S WINSLOW CT,LB326,BPD,REPORT NEEDED
B16-48990,12/9/2016,12:31:27,December,Friday,DISTURBANCE IP,811 S WINRIDGE CT,LB413,BPD,REPORT NEEDED
B16-48967,12/9/2016,9:31:49,December,Friday,DISTURBANCE IP,1709 W 8TH ST; VALHALLA MOBILE MANOR; LOT 37,LB521,BPD,NO REPORT NEEDED
B16-48951,12/9/2016,6:55:03,December,Friday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,NO REPORT NEEDED
B16-48924,12/8/2016,22:58:06,December,Thursday,DISTURBANCE IP,1201 W ALLEN ST; APT 23,LB413,BPD,NO REPORT NEEDED
B16-48901,12/8/2016,19:38:42,December,Thursday,DISTURBANCE IP,714 S FAIRVIEW ST; APT 5,LB409,BPD,NO REPORT NEEDED
B16-48900,12/8/2016,19:22:09,December,Thursday,DISTURBANCE IP,3201 W 3RD ST; OUTBACK STEAKHOUSE,LB403,BPD,NO REPORT NEEDED
B16-48880,12/8/2016,17:11:49,December,Thursday,DISTURBANCE IP,703 W GOURLEY PIKE; APT 2,LB513,BPD,NO REPORT NEEDED
B16-48858,12/8/2016,14:29:01,December,Thursday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B-133,LB336,BPD,NO REPORT NEEDED
B16-48811,12/8/2016,1:45:37,December,Thursday,DISTURBANCE IP,1237 N MAPLE ST,LB518,BPD,NO REPORT NEEDED
B16-48798,12/7/2016,23:18:49,December,Wednesday,DISTURBANCE IP,334 E STATE ROAD 45 46 BYPASS; UNIT 2,LB212,BPD,NO REPORT NEEDED
B16-48765,12/7/2016,19:31:55,December,Wednesday,DISTURBANCE IP,303 E KIRKWOOD AVE,LB102,BPD,REPORT NEEDED
B16-48752,12/7/2016,17:30:45,December,Wednesday,DISTURBANCE IP,1011 W 2ND ST; SOUTHERN INDIANA EYE CENTER,LB409,BPD,REPORT NEEDED
B16-48721,12/7/2016,13:15:53,December,Wednesday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,NO REPORT NEEDED
B16-48690,12/7/2016,6:27:52,December,Wednesday,DISTURBANCE IP,3620 W 3RD ST; BIG LOTS,LB524,BPD,NO REPORT NEEDED
B16-48687,12/7/2016,3:20:11,December,Wednesday,DISTURBANCE IP,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,REPORT NEEDED
B16-48668,12/6/2016,23:12:00,December,Tuesday,DISTURBANCE IP,1722 N WALNUT ST; AMERICAS BEST VALUE INN,LB212,BPD,REPORT NEEDED
B16-48650,12/6/2016,21:49:19,December,Tuesday,DISTURBANCE IP,2420 E 3RD ST; FIRST UNITED CHURCH,LB304,BPD,NO REPORT NEEDED
B16-48614,12/6/2016,16:37:10,December,Tuesday,DISTURBANCE IP,303 E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-48587,12/6/2016,13:31:55,December,Tuesday,DISTURBANCE IP,2894 E 3RD ST ; COLLEGE MALL OFFICE,LB305,BPD,NO REPORT NEEDED
B16-48576,12/6/2016,11:51:54,December,Tuesday,DISTURBANCE IP,400 S PARKWAY DR; PARKWAY APARTMENTS; APT 4,LB402,BPD,NO REPORT NEEDED
B16-48550,12/6/2016,6:09:33,December,Tuesday,DISTURBANCE IP,2420 E 3RD ST; FIRST UNITED CHURCH,LB304,BPD,NO REPORT NEEDED
B16-48541,12/6/2016,0:59:09,December,Tuesday,DISTURBANCE IP,3202 S WALNUT SPRINGS DR,LB336,BPD,REPORT NEEDED
B16-48534,12/5/2016,23:56:54,December,Monday,DISTURBANCE IP,2419 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-48511,12/5/2016,20:02:54,December,Monday,DISTURBANCE IP,1705 N KINSER PIKE; MARATHON GAS STATION N KINSER PIKE,LB513,BPD,NO REPORT NEEDED
B16-48478,12/5/2016,15:24:34,December,Monday,DISTURBANCE IP,1011 N ILLINOIS ST,LB517,BPD,NO REPORT NEEDED
B16-48434,12/5/2016,3:17:11,December,Monday,DISTURBANCE IP,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,NO REPORT NEEDED
B16-48426,12/4/2016,23:13:03,December,Sunday,DISTURBANCE IP,3170 S WALNUT ST; SPEEDY WRECKER,LB433,BPD,NO REPORT NEEDED
B16-48424,12/4/2016,23:10:50,December,Sunday,DISTURBANCE IP,1201 W ALLEN ST; APT 28,LB413,BPD,NO REPORT NEEDED
B16-48389,12/4/2016,17:12:36,December,Sunday,DISTURBANCE IP,430 E KIRKWOOD AVE; DUNNKIRK SQUARE,LB104,BPD,REPORT NEEDED
B16-48341,12/4/2016,9:03:01,December,Sunday,DISTURBANCE IP,1405 W 13TH ST,LB517,BPD,NO REPORT NEEDED
B16-48336,12/4/2016,7:39:04,December,Sunday,DISTURBANCE IP,S WASHINGTON ST & E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-48327,12/4/2016,5:18:52,December,Sunday,DISTURBANCE IP,2036 N WALNUT ST; APT D30,LB212,BPD,NO REPORT NEEDED
B16-48304,12/4/2016,1:34:44,December,Sunday,DISTURBANCE IP,408 E 6TH ST; BOXCAR BOOKS,LB102,BPD,REPORT NEEDED
B16-48262,12/3/2016,19:57:59,December,Saturday,DISTURBANCE IP,350 S CURRY PIKE; MASTER CLEANING SERVICE,LB402,BPD,REPORT NEEDED
B16-48196,12/3/2016,10:16:31,December,Saturday,DISTURBANCE IP,200 S WASHINGTON ST; FIFTH THIRD BANK DOWNTOWN,LB104,BPD,NO REPORT NEEDED
B16-48191,12/3/2016,9:35:23,December,Saturday,DISTURBANCE IP,401 N MORTON ST; SHOWERS CITY HALL,LB101,BPD,NO REPORT NEEDED
B16-48180,12/3/2016,3:32:38,December,Saturday,DISTURBANCE IP,N WALNUT ST & E 6TH ST,LB101,BPD,NO REPORT NEEDED
B16-48171,12/3/2016,1:46:12,December,Saturday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-48023,12/2/2016,4:21:24,December,Friday,DISTURBANCE IP,2910 W 3RD ST; MCDONALDS WEST,LB523,BPD,NO REPORT NEEDED
B16-48003,12/1/2016,23:40:44,December,Thursday,DISTURBANCE IP,2439 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-47992,12/1/2016,22:13:43,December,Thursday,DISTURBANCE IP,2387 S BRANDON CT,LB326,BPD,NO REPORT NEEDED
B16-47987,12/1/2016,21:43:09,December,Thursday,DISTURBANCE IP,1706 E CAMBY LN,LB330,BPD,REPORT NEEDED
B16-47980,12/1/2016,20:22:09,December,Thursday,DISTURBANCE IP,267 W 11TH ST; APT A,LB519,BPD,NO REPORT NEEDED
B16-47910,12/1/2016,12:45:31,December,Thursday,DISTURBANCE IP,4011 S MONROE MEDICAL PARK BLVD; MONROE HOSPITAL,LMS21,BPD,NO REPORT NEEDED
B16-47907,12/1/2016,12:37:38,December,Thursday,DISTURBANCE IP,101 W KIRKWOOD AVE; FOUNTAIN SQUARE MALL,LB103,BPD,NO REPORT NEEDED
B16-47896,12/1/2016,9:29:25,December,Thursday,DISTURBANCE IP,3650 S LEONARD SPRINGS RD; HEATHERWOOD MOBILE HOME PARK,LB428,BPD,NO REPORT NEEDED
B16-47862,12/1/2016,0:39:22,December,Thursday,DISTURBANCE IP,328 S GRANT ST,LB104,BPD,NO REPORT NEEDED
